#{"t_start": 1750351990.2868047, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,288.056812
-200.0,200,288.085814
-200.0,200,288.11903
-200.0,200,288.15129
-200.0,200,288.189652
-200.0,200,288.350986
-200.0,200,288.50908
-200.0,200,288.661301
-200.0,200,288.821149
-200.0,200,288.965238
-200.0,200,289.092147
-200.0,200,289.213745
-200.0,200,289.344896
-200.0,200,289.519736
-200.0,200,289.759485
-200.0,200,289.907482
-200.0,200,290.060591
-200.0,200,290.210591
-200.0,200,290.383874
-200.0,200,290.509498
-156.0,156,290.613389
-200.0,200,290.754364
-200.0,200,290.885275
-200.0,200,291.034588
-200.0,200,291.193951
-200.0,200,291.366095
-200.0,200,291.525461
-200.0,200,291.689891
-200.0,200,291.844929
-200.0,200,292.010942
-200.0,200,292.149832
-200.0,200,292.307816
-200.0,200,292.468037
-200.0,200,292.633231
-200.0,200,292.776341
-200.0,200,292.911103
-200.0,200,293.040093
-200.0,200,293.179206
-200.0,200,293.307044
-200.0,200,293.44618
-200.0,200,293.575109
-200.0,200,293.709811
-200.0,200,293.86019
-200.0,200,294.037697
-200.0,200,294.193234
-200.0,200,294.371655
-200.0,200,294.547354
-200.0,200,294.718347
-200.0,200,294.874538
-200.0,200,295.034885
-200.0,200,295.198128
-200.0,200,295.365465
-200.0,200,295.522567
-200.0,200,295.689582
-200.0,200,295.845732
-200.0,200,295.987854
-200.0,200,296.146749
-200.0,200,296.3117
-200.0,200,296.459453
-200.0,200,296.607522
-200.0,200,296.735242
-200.0,200,296.887399
-200.0,200,297.051913
-200.0,200,297.229273
-200.0,200,297.412756
-200.0,200,297.607294
-200.0,200,297.759498
-200.0,200,297.907451
-200.0,200,298.050654
-200.0,200,298.185664
-200.0,200,298.315593
-200.0,200,298.460618
-200.0,200,298.603548
-200.0,200,298.742916
-200.0,200,298.89588
-200.0,200,299.068123
-200.0,200,299.222464
-200.0,200,299.357407
-200.0,200,299.486246
-200.0,200,299.654628
-200.0,200,299.782478
-200.0,200,299.922839
-200.0,200,300.066957
-200.0,200,300.225076
-200.0,200,300.361099
-200.0,200,300.503948
-200.0,200,300.643199
-200.0,200,300.8093
-200.0,200,300.967488
-200.0,200,301.109513
-200.0,200,301.236411
-200.0,200,301.371425
-200.0,200,301.502513
-200.0,200,301.668482
-200.0,200,301.81861
-200.0,200,301.989924
-200.0,200,302.139183
-200.0,200,302.275228
-200.0,200,302.420387
-200.0,200,302.576718
-200.0,200,302.73617
-200.0,200,302.872256
-200.0,200,303.003137
-200.0,200,303.143993
-200.0,200,303.275222
-200.0,200,303.416902
-200.0,200,303.568038
-200.0,200,303.718524
-200.0,200,303.857528
-200.0,200,304.008728
-200.0,200,304.205549
-200.0,200,304.379084
-200.0,200,304.516118
-200.0,200,304.670317
-200.0,200,304.858009
-200.0,200,305.041651
-200.0,200,305.169615
-200.0,200,305.306617
-200.0,200,305.436657
-200.0,200,305.587464
-200.0,200,305.745656
-200.0,200,305.913738
-200.0,200,306.05272
-200.0,200,306.192542
-200.0,200,306.325631
-200.0,200,306.501672
-186.0,186,306.625522
-200.0,200,306.794613
-200.0,200,306.943972
-200.0,200,307.111149
-200.0,200,307.248745
-200.0,200,307.387294
-200.0,200,307.535476
-200.0,200,307.700695
-200.0,200,307.828533
-200.0,200,307.963522
-200.0,200,308.108261
-200.0,200,308.26834
-200.0,200,308.399364
-200.0,200,308.568549
-200.0,200,308.725897
-200.0,200,308.89521
-200.0,200,309.031292
-200.0,200,309.187423
-200.0,200,309.329378
-200.0,200,309.503618
-200.0,200,309.641694
-200.0,200,309.785463
-200.0,200,309.914721
-200.0,200,310.06993
-200.0,200,310.226146
-200.0,200,310.362104
-200.0,200,310.510587
-200.0,200,310.673808
-200.0,200,310.827866
-200.0,200,310.996114
-168.0,168,311.119945
-200.0,200,311.286237
-200.0,200,311.446304
-200.0,200,311.615524
-200.0,200,311.77369
-200.0,200,311.937812
-200.0,200,312.097054
-200.0,200,312.264149
-200.0,200,312.405884
-200.0,200,312.545217
-200.0,200,312.687048
-200.0,200,312.854448
-200.0,200,313.025136
-192.0,192,313.192276
-200.0,200,313.353847
-200.0,200,313.536832
