#{"t_start": 1750352954.180169, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.01924
-200.0,200,0.029322
-200.0,200,0.039397
-200.0,200,0.050491
-200.0,200,0.060584
-200.0,200,0.172743
-200.0,200,0.28483
-200.0,200,0.387833
-200.0,200,0.493872
-200.0,200,0.610975
-200.0,200,0.735254
-200.0,200,0.858856
-200.0,200,0.975561
-200.0,200,1.083401
-200.0,200,1.236907
-200.0,200,1.348497
-200.0,200,1.461567
-200.0,200,1.569824
-200.0,200,1.692539
-200.0,200,1.815623
-200.0,200,1.955814
-200.0,200,2.069172
-200.0,200,2.18849
-200.0,200,2.302828
-200.0,200,2.429152
-200.0,200,2.552616
-200.0,200,2.686105
-200.0,200,2.801489
-200.0,200,2.917391
-200.0,200,3.028746
-200.0,200,3.152
-200.0,200,3.270026
-200.0,200,3.402534
-200.0,200,3.519705
-200.0,200,3.637217
-200.0,200,3.735957
-200.0,200,3.857161
-200.0,200,3.988199
-200.0,200,4.121833
-200.0,200,4.288936
-200.0,200,4.442364
-200.0,200,4.547339
-200.0,200,4.662432
-200.0,200,4.769686
-200.0,200,4.89222
-200.0,200,5.028563
-200.0,200,5.145595
-200.0,200,5.258537
-200.0,200,5.3856
-200.0,200,5.496923
-200.0,200,5.607769
-200.0,200,5.714773
-200.0,200,5.826979
-200.0,200,5.941518
-200.0,200,6.063876
-200.0,200,6.16769
-200.0,200,6.289863
-200.0,200,6.40317
-200.0,200,6.510055
-200.0,200,6.609815
-200.0,200,6.730232
-200.0,200,6.857969
-200.0,200,6.985242
-200.0,200,7.092284
-200.0,200,7.205254
-200.0,200,7.313159
-200.0,200,7.436365
-200.0,200,7.532414
-200.0,200,7.643209
-200.0,200,7.750917
-200.0,200,7.864928
-200.0,200,7.972268
-200.0,200,8.092383
-200.0,200,8.208338
-200.0,200,8.327142
-200.0,200,8.441219
-200.0,200,8.560099
-200.0,200,8.675937
-200.0,200,8.800566
-200.0,200,8.92447
-200.0,200,9.049972
-200.0,200,9.16489
-200.0,200,9.287068
-200.0,200,9.403192
-200.0,200,9.525195
-200.0,200,9.64615
-200.0,200,9.764252
-200.0,200,9.870392
-200.0,200,10.019342
-200.0,200,10.140393
-200.0,200,10.259391
-200.0,200,10.376379
-200.0,200,10.49741
-200.0,200,10.610329
-200.0,200,10.730201
-200.0,200,10.84949
-200.0,200,10.973723
-200.0,200,11.079927
-200.0,200,11.199095
-200.0,200,11.305976
-200.0,200,11.415927
-200.0,200,11.530475
-200.0,200,11.642892
-200.0,200,11.746372
-200.0,200,11.867535
-173.0,173,11.973833
-200.0,200,12.073514
-200.0,200,12.181462
-200.0,200,12.288556
-200.0,200,12.412648
-191.0,191,12.517358
-200.0,200,12.617033
-200.0,200,12.724207
-200.0,200,12.845656
-200.0,200,12.969025
-132.0,132,13.042703
-200.0,200,13.152705
-200.0,200,13.27095
-200.0,200,13.377345
-200.0,200,13.49508
-200.0,200,13.600772
-200.0,200,13.731051
-200.0,200,13.844882
-200.0,200,13.958914
-200.0,200,14.083374
-200.0,200,14.244902
-167.0,167,14.368685
-200.0,200,14.528
-200.0,200,14.661943
-200.0,200,14.793335
-200.0,200,14.921827
-140.0,140,15.004847
-200.0,200,15.152169
-200.0,200,15.284002
-200.0,200,15.408957
-200.0,200,15.580411
-200.0,200,15.741557
-200.0,200,15.870218
-200.0,200,15.996862
-200.0,200,16.113307
-200.0,200,16.239647
-200.0,200,16.357454
-200.0,200,16.477509
-200.0,200,16.593876
-200.0,200,16.713516
-200.0,200,16.830393
-200.0,200,16.976146
-200.0,200,17.079036
