#{"t_start": 1750220705.3594053, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.088225
-200.0,200,0.115596
-200.0,200,0.140595
-200.0,200,0.161693
-200.0,200,0.182869
-200.0,200,0.286918
-200.0,200,0.386949
-200.0,200,0.483781
-200.0,200,0.585365
-200.0,200,0.698687
-200.0,200,0.804886
-200.0,200,0.900836
-200.0,200,0.994605
-200.0,200,1.093139
-200.0,200,1.219627
-200.0,200,1.336493
-200.0,200,1.43645
-200.0,200,1.53314
-200.0,200,1.640259
-200.0,200,1.745042
-200.0,200,1.857839
-200.0,200,1.964965
-200.0,200,2.064481
-200.0,200,2.164778
-200.0,200,2.290008
-200.0,200,2.402166
-200.0,200,2.532073
-200.0,200,2.653722
-200.0,200,2.793157
-200.0,200,2.899858
-200.0,200,3.005673
-200.0,200,3.107428
-200.0,200,3.221613
-200.0,200,3.334651
-200.0,200,3.475221
-200.0,200,3.579706
-200.0,200,3.689821
-200.0,200,3.792496
-200.0,200,3.894369
-200.0,200,4.003353
-200.0,200,4.108496
-200.0,200,4.209318
-200.0,200,4.312938
-200.0,200,4.404682
-200.0,200,4.504769
-200.0,200,4.597694
-164.0,164,4.682288
-200.0,200,4.775719
-200.0,200,4.878989
-200.0,200,4.976876
-200.0,200,5.111816
-200.0,200,5.216651
-200.0,200,5.325259
-200.0,200,5.435186
-200.0,200,5.53595
-200.0,200,5.631277
-187.0,187,5.733752
-200.0,200,5.84191
-200.0,200,5.955285
-200.0,200,6.057129
-200.0,200,6.17285
-132.0,132,6.240571
-200.0,200,6.353439
-200.0,200,6.455469
-200.0,200,6.564151
-200.0,200,6.667681
-200.0,200,6.765534
-200.0,200,6.863342
-200.0,200,6.978373
-200.0,200,7.073949
-200.0,200,7.178545
-200.0,200,7.277577
-200.0,200,7.381365
-200.0,200,7.492401
-200.0,200,7.606564
-200.0,200,7.711203
-200.0,200,7.823014
-200.0,200,7.916836
-200.0,200,8.026694
-200.0,200,8.133835
-200.0,200,8.24461
-177.0,177,8.336288
-200.0,200,8.429906
-200.0,200,8.535244
-200.0,200,8.639424
-200.0,200,8.75528
-200.0,200,8.846953
-200.0,200,8.966981
-200.0,200,9.069616
-200.0,200,9.1806
-200.0,200,9.286141
-162.0,162,9.371943
-200.0,200,9.480771
-200.0,200,9.591713
-200.0,200,9.6998
-200.0,200,9.800582
-166.0,166,9.892324
-200.0,200,9.997343
-200.0,200,10.10698
-200.0,200,10.212219
-200.0,200,10.308893
