#{"t_start": 1750218966.2925427, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,159.033377
-200.0,200,159.140254
-200.0,200,159.252018
-200.0,200,159.359759
-200.0,200,159.450638
-200.0,200,159.613082
-200.0,200,159.785259
-200.0,200,159.946383
-200.0,200,160.114788
-200.0,200,160.285336
-200.0,200,160.500888
-200.0,200,160.77895
-200.0,200,161.043457
-200.0,200,161.251656
-200.0,200,161.435326
-200.0,200,161.62639
-200.0,200,161.822017
-200.0,200,162.00753
-200.0,200,162.181787
-200.0,200,162.355118
-200.0,200,162.552932
-200.0,200,162.748404
-200.0,200,162.938698
-200.0,200,163.113085
-200.0,200,163.321017
-200.0,200,163.540251
-200.0,200,163.735081
-200.0,200,163.924482
-200.0,200,164.118437
-200.0,200,164.308042
-200.0,200,164.508386
-200.0,200,164.681488
-200.0,200,164.877012
-200.0,200,165.066496
-200.0,200,165.259961
-200.0,200,165.453719
-200.0,200,165.641297
-200.0,200,165.828159
-200.0,200,166.020028
-200.0,200,166.206103
-200.0,200,166.401021
-200.0,200,166.585403
-200.0,200,166.782075
-200.0,200,166.972394
-200.0,200,167.169668
-200.0,200,167.380296
-200.0,200,167.624919
-200.0,200,167.851427
-200.0,200,168.04974
-200.0,200,168.245291
-179.0,179,168.475377
-200.0,200,168.66608
-200.0,200,168.83608
-200.0,200,169.010794
-200.0,200,169.191067
-200.0,200,169.367925
-200.0,200,169.551754
-200.0,200,169.723862
-200.0,200,169.915318
-200.0,200,170.10662
-200.0,200,170.305205
-200.0,200,170.495671
-200.0,200,170.69144
-200.0,200,170.884958
-200.0,200,171.085179
-200.0,200,171.276356
-200.0,200,171.46622
-189.0,189,171.642407
-200.0,200,171.83958
-200.0,200,172.038724
-200.0,200,172.227193
-200.0,200,172.40215
-200.0,200,172.577778
-200.0,200,172.743843
-200.0,200,172.946677
-127.0,127,173.053741
-156.0,156,173.191886
-200.0,200,173.377209
-200.0,200,173.558452
-200.0,200,173.762242
-200.0,200,173.985539
-160.0,160,174.123492
-200.0,200,174.307236
-200.0,200,174.50191
-200.0,200,174.675863
-200.0,200,174.856654
-200.0,200,175.048255
-200.0,200,175.241879
-200.0,200,175.428698
-200.0,200,175.615259
-200.0,200,175.811521
-200.0,200,176.002212
-200.0,200,176.171379
-200.0,200,176.355426
-200.0,200,176.549577
-200.0,200,176.778422
-175.0,175,176.992471
-200.0,200,177.184559
-200.0,200,177.378081
-200.0,200,177.576117
-200.0,200,177.797086
-200.0,200,177.986962
-200.0,200,178.17755
-200.0,200,178.370519
-200.0,200,178.564191
-200.0,200,178.751331
-200.0,200,178.944944
-200.0,200,179.133617
-200.0,200,179.326658
-200.0,200,179.511061
-200.0,200,179.709743
-200.0,200,179.896231
-200.0,200,180.09495
-200.0,200,180.2592
-200.0,200,180.44684
-200.0,200,180.612921
-200.0,200,180.829724
-200.0,200,181.044214
-200.0,200,181.227797
-200.0,200,181.395391
-200.0,200,181.588289
-200.0,200,181.776739
-200.0,200,181.964857
-200.0,200,182.162453
-200.0,200,182.350104
-200.0,200,182.518405
-200.0,200,182.689456
-200.0,200,182.861593
-200.0,200,183.067729
-200.0,200,183.255627
-200.0,200,183.453193
-200.0,200,183.62542
-200.0,200,183.821557
-200.0,200,184.010196
-200.0,200,184.209902
-200.0,200,184.407042
-200.0,200,184.603092
-200.0,200,184.789397
-200.0,200,184.986159
-200.0,200,185.180507
-200.0,200,185.377053
-200.0,200,185.560004
-200.0,200,185.753501
-200.0,200,185.94219
-200.0,200,186.134778
-200.0,200,186.323057
-200.0,200,186.51622
-200.0,200,186.701489
-200.0,200,186.89409
-168.0,168,187.041545
-200.0,200,187.243618
-200.0,200,187.423721
-200.0,200,187.655701
-200.0,200,187.890177
-200.0,200,188.190978
-200.0,200,188.367769
-140.0,140,188.496413
-200.0,200,188.703022
-200.0,200,188.966056
-200.0,200,189.150329
-200.0,200,189.351053
-200.0,200,189.521662
-200.0,200,189.695704
-200.0,200,189.862851
-200.0,200,190.050245
-200.0,200,190.242912
-200.0,200,190.452584
-186.0,186,190.627133
-144.0,144,190.752739
-200.0,200,190.94337
-200.0,200,191.10937
-200.0,200,191.302791
-200.0,200,191.479416
-188.0,188,191.658792
-200.0,200,191.857488
-200.0,200,192.048925
-200.0,200,192.263802
-200.0,200,192.44996
-200.0,200,192.648003
-200.0,200,192.844346
-200.0,200,193.053021
-200.0,200,193.240628
-200.0,200,193.437241
-200.0,200,193.61601
-138.0,138,193.737011
-200.0,200,193.927772
-200.0,200,194.13523
-200.0,200,194.365076
-185.0,185,194.575014
-200.0,200,194.796633
-200.0,200,195.017114
-200.0,200,195.212881
-200.0,200,195.438985
-200.0,200,195.612402
-200.0,200,195.799741
-200.0,200,195.997444
-200.0,200,196.202497
-164.0,164,196.352428
-200.0,200,196.549153
-200.0,200,196.738775
