#{"t_start": 1751335174.6705413, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,524.037298
-200.0,200,524.060388
-200.0,200,524.084949
-200.0,200,524.111475
-200.0,200,524.137502
-200.0,200,524.266196
-200.0,200,524.387327
-200.0,200,524.508686
-200.0,200,524.632387
-200.0,200,524.758677
-200.0,200,524.906965
-200.0,200,525.019676
-200.0,200,525.151417
-200.0,200,525.284963
-200.0,200,525.408625
-200.0,200,525.542098
-200.0,200,525.672458
-200.0,200,525.799895
-200.0,200,525.934079
-200.0,200,526.06507
-200.0,200,526.20495
-200.0,200,526.333828
-200.0,200,526.48612
-200.0,200,526.638517
-200.0,200,526.817447
-200.0,200,527.018924
-200.0,200,527.193999
-200.0,200,527.373478
-200.0,200,527.595222
-200.0,200,527.784179
-200.0,200,527.92615
-200.0,200,528.057687
-200.0,200,528.207963
-200.0,200,528.338716
-200.0,200,528.479128
-200.0,200,528.632896
-200.0,200,528.792001
-200.0,200,528.932187
-200.0,200,529.063346
-200.0,200,529.201166
-200.0,200,529.35042
-200.0,200,529.490048
-200.0,200,529.632551
-200.0,200,529.785368
-200.0,200,529.920398
-200.0,200,530.056265
-200.0,200,530.207389
-200.0,200,530.341104
-200.0,200,530.498438
-200.0,200,530.640895
-200.0,200,530.796398
-200.0,200,530.933826
-200.0,200,531.083921
-200.0,200,531.2308
-200.0,200,531.367251
-200.0,200,531.506755
-200.0,200,531.657702
-200.0,200,531.787406
-200.0,200,531.933159
-200.0,200,532.068646
-200.0,200,532.223251
-200.0,200,532.351131
-200.0,200,532.51403
-200.0,200,532.657231
-200.0,200,532.805519
-200.0,200,532.960297
-200.0,200,533.109924
-200.0,200,533.257383
-200.0,200,533.410613
-200.0,200,533.55336
-200.0,200,533.718737
-200.0,200,533.860789
-200.0,200,533.99839
-200.0,200,534.140266
-200.0,200,534.285612
-169.0,169,534.440948
-200.0,200,534.570898
-200.0,200,534.722916
-200.0,200,534.879577
-200.0,200,535.014629
-200.0,200,535.146786
-200.0,200,535.282901
-200.0,200,535.413014
-200.0,200,535.558802
-200.0,200,535.723441
-200.0,200,535.884383
-200.0,200,536.040489
-200.0,200,536.204176
-200.0,200,536.362413
-200.0,200,536.503725
-200.0,200,536.639676
-200.0,200,536.785476
-200.0,200,536.938938
-200.0,200,537.086434
