#{"t_start": 1750350908.9798656, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,165.623328
-200.0,200,165.764466
-200.0,200,165.898929
-200.0,200,166.032355
-200.0,200,166.153446
-200.0,200,166.455502
-200.0,200,166.772781
-200.0,200,167.078821
-200.0,200,167.385594
-200.0,200,167.68157
-200.0,200,168.013007
-200.0,200,168.323118
-200.0,200,168.64783
-200.0,200,168.93414
-200.0,200,169.247154
-200.0,200,169.55348
-200.0,200,169.851391
-200.0,200,170.145431
-200.0,200,170.451147
-200.0,200,170.757917
-200.0,200,171.067133
-200.0,200,171.359965
-200.0,200,171.694476
-200.0,200,172.031576
-200.0,200,172.38334
-200.0,200,172.706584
-200.0,200,173.1353
-200.0,200,173.5707
-200.0,200,174.001712
-200.0,200,174.403909
-200.0,200,174.732881
-200.0,200,175.035565
-200.0,200,175.526083
-200.0,200,175.894578
-200.0,200,176.27485
-200.0,200,176.631644
-200.0,200,177.004842
-200.0,200,177.402356
-200.0,200,177.762141
-200.0,200,178.084353
-200.0,200,178.4677
-200.0,200,178.91849
-200.0,200,179.363914
-200.0,200,179.736537
-200.0,200,180.129135
-200.0,200,180.557866
-200.0,200,181.062145
-200.0,200,181.412475
-200.0,200,181.810942
-200.0,200,182.162345
-200.0,200,182.546001
-200.0,200,182.886646
-200.0,200,183.255909
-200.0,200,183.569831
-200.0,200,183.910574
-200.0,200,184.249911
-200.0,200,184.579144
-200.0,200,184.913481
-200.0,200,185.333583
-200.0,200,185.71472
-200.0,200,186.098752
-200.0,200,186.435864
-200.0,200,186.788636
-200.0,200,187.124768
-200.0,200,187.483132
-200.0,200,187.828252
-200.0,200,188.212813
-200.0,200,188.553688
-200.0,200,188.915986
-200.0,200,189.308443
-200.0,200,189.627455
-200.0,200,190.030688
-200.0,200,190.413629
-200.0,200,190.987197
-200.0,200,191.346318
-200.0,200,191.759504
-200.0,200,192.187478
-200.0,200,192.625686
-200.0,200,193.044323
-200.0,200,193.443006
-200.0,200,193.97265
-200.0,200,194.329645
-200.0,200,194.722416
-200.0,200,195.159698
-200.0,200,195.671017
-200.0,200,196.197507
-200.0,200,196.673365
-200.0,200,197.046745
-200.0,200,197.458178
-200.0,200,197.841917
-200.0,200,198.277478
-200.0,200,198.644743
-200.0,200,199.190334
-200.0,200,199.690853
-200.0,200,200.183281
-200.0,200,200.564853
-200.0,200,200.96194
-200.0,200,201.472305
-200.0,200,201.912793
-200.0,200,202.305471
-200.0,200,202.721464
-200.0,200,203.082158
-200.0,200,203.458013
-200.0,200,203.808728
-200.0,200,204.149717
-200.0,200,204.542546
-200.0,200,204.976124
-200.0,200,205.358405
-200.0,200,205.745809
-200.0,200,206.1606
-200.0,200,206.567046
-200.0,200,206.941101
-200.0,200,207.335254
-200.0,200,207.726042
-200.0,200,208.198088
-200.0,200,208.630318
-200.0,200,209.011147
-200.0,200,209.371542
-200.0,200,209.714712
-200.0,200,210.093237
-200.0,200,210.48818
-200.0,200,210.850748
-200.0,200,211.204606
-200.0,200,211.547127
-200.0,200,211.90992
-200.0,200,212.298403
-200.0,200,212.665024
-200.0,200,213.025149
-200.0,200,213.422514
-200.0,200,213.773508
-200.0,200,214.137747
-200.0,200,214.471129
-200.0,200,214.816098
-200.0,200,215.154642
-200.0,200,215.499486
-200.0,200,215.813818
-200.0,200,216.216384
-200.0,200,216.573597
-200.0,200,217.044443
-200.0,200,217.598278
-197.0,197,218.112243
-174.0,174,218.494799
-196.0,196,218.934698
-173.0,173,219.345823
-200.0,200,219.744515
-189.0,189,220.131766
-200.0,200,220.524664
-200.0,200,220.945935
-200.0,200,221.35671
-200.0,200,221.711235
-140.0,140,221.950256
-200.0,200,222.410399
-183.0,183,222.843478
-140.0,140,223.053322
-174.0,174,223.444001
-167.0,167,223.735635
-140.0,140,223.973508
-193.0,193,224.32314
-200.0,200,224.653042
-185.0,185,225.021458
-169.0,169,225.344349
-178.0,178,225.652145
-172.0,172,226.015829
-172.0,172,226.343141
-138.0,138,226.611326
-181.0,181,226.989375
-184.0,184,227.406372
-200.0,200,227.896919
-173.0,173,228.306188
-139.0,139,228.628592
-176.0,176,228.971864
-200.0,200,229.407621
-137.0,137,229.675505
-133.0,133,229.947083
-166.0,166,230.242336
-150.0,150,230.4869
-179.0,179,230.827662
-200.0,200,231.222672
-137.0,137,231.52171
-158.0,158,231.835621
-147.0,147,232.129559
-200.0,200,232.589273
-141.0,141,232.884302
-170.0,170,233.227464
-179.0,179,233.540897
-172.0,172,233.837543
-181.0,181,234.182964
-178.0,178,234.529193
-135.0,135,234.780271
-175.0,175,235.207436
-140.0,140,235.530618
-138.0,138,235.85883
-142.0,142,236.144665
-160.0,160,236.442821
-166.0,166,236.735955
-176.0,176,237.025495
-136.0,136,237.258902
-139.0,139,237.508417
-140.0,140,237.779993
-123.0,123,237.958381
-142.0,142,238.193666
-178.0,178,238.535214
-179.0,179,238.845361
-165.0,165,239.178686
-187.0,187,239.61726
-144.0,144,239.89937
-178.0,178,240.272989
-139.0,139,240.551364
-170.0,170,240.855998
-164.0,164,241.169994
-179.0,179,241.505692
-200.0,200,241.918791
-141.0,141,242.227807
-138.0,138,242.499805
-175.0,175,242.822086
-142.0,142,243.030661
-200.0,200,243.421292
-200.0,200,243.850865
-140.0,140,244.137415
-136.0,136,244.404225
-144.0,144,244.627728
-141.0,141,244.872847
-166.0,166,245.146375
-146.0,146,245.37646
-162.0,162,245.657014
-165.0,165,245.957164
-169.0,169,246.250963
-188.0,188,246.577541
-167.0,167,246.854262
-194.0,194,247.171325
-160.0,160,247.433975
-138.0,138,247.713261
-167.0,167,247.985102
-166.0,166,248.269037
-171.0,171,248.654269
-167.0,167,249.088358
-164.0,164,249.380177
-139.0,139,249.610488
-166.0,166,249.928444
-200.0,200,250.295784
-139.0,139,250.520662
-142.0,142,250.885631
-200.0,200,251.306732
-164.0,164,251.60488
-200.0,200,251.964947
-144.0,144,252.237082
-171.0,171,252.523147
-165.0,165,252.82586
-169.0,169,253.115612
-193.0,193,253.479563
-169.0,169,253.780759
-135.0,135,254.060608
-161.0,161,254.364283
-141.0,141,254.59359
-159.0,159,254.856816
-150.0,150,255.147447
-140.0,140,255.455598
-172.0,172,255.76218
-200.0,200,256.092671
-140.0,140,256.320141
-156.0,156,256.561059
-133.0,133,256.755642
-137.0,137,256.968312
-169.0,169,257.215838
-138.0,138,257.437748
-137.0,137,257.658872
-173.0,173,257.946237
-136.0,136,258.154335
-171.0,171,258.404136
-177.0,177,258.685762
-173.0,173,258.947352
-178.0,178,259.266233
-165.0,165,259.51929
-175.0,175,259.820972
-138.0,138,260.052576
-139.0,139,260.307493
-136.0,136,260.620621
-171.0,171,261.017442
-138.0,138,261.299418
-166.0,166,261.665963
-173.0,173,262.029029
-107.0,107,262.373371
-126.0,126,262.691039
-137.0,137,262.999783
-169.0,169,263.395967
-139.0,139,263.69405
-144.0,144,264.013287
-135.0,135,264.375481
-161.0,161,264.690138
-164.0,164,265.075275
-146.0,146,265.452508
-175.0,175,265.86567
-136.0,136,266.160278
-107.0,107,266.368337
-143.0,143,266.660921
-171.0,171,267.010917
-178.0,178,267.362839
-111.0,111,267.614183
-120.0,120,268.024189
-173.0,173,268.427278
-138.0,138,268.704145
-171.0,171,269.086479
-134.0,134,269.362826
-166.0,166,269.714708
-136.0,136,270.044844
-137.0,137,270.303723
-140.0,140,270.62038
-136.0,136,270.920201
-142.0,142,271.275927
-142.0,142,271.553928
-159.0,159,271.86858
-174.0,174,272.270298
-112.0,112,272.515981
-111.0,111,272.720981
-164.0,164,273.029624
-140.0,140,273.253971
-172.0,172,273.596443
-148.0,148,273.876603
-144.0,144,274.183764
-146.0,146,274.453139
-174.0,174,274.753489
-139.0,139,274.987874
-111.0,111,275.197447
-163.0,163,275.48649
-173.0,173,275.770035
-109.0,109,275.93908
-166.0,166,276.199594
-144.0,144,276.419856
-140.0,140,276.634949
-110.0,110,276.804215
-142.0,142,277.070678
-141.0,141,277.329837
-137.0,137,277.600319
-110.0,110,277.829004
-166.0,166,278.140553
-167.0,167,278.453112
-113.0,113,278.633793
-149.0,149,278.860066
-140.0,140,279.074277
-108.0,108,279.241818
-175.0,175,279.522553
-142.0,142,279.773861
-183.0,183,280.111232
-175.0,175,280.436388
-145.0,145,280.674644
-171.0,171,280.950773
-144.0,144,281.205427
-142.0,142,281.461957
-113.0,113,281.629562
-105.0,105,281.82647
-137.0,137,282.114127
-161.0,161,282.455538
-142.0,142,282.670837
-169.0,169,282.965588
-143.0,143,283.203746
-167.0,167,283.493932
-166.0,166,283.793426
-144.0,144,284.032789
-114.0,114,284.236459
-116.0,116,284.453796
-109.0,109,284.634121
-112.0,112,284.800952
-140.0,140,285.042116
-141.0,141,285.301303
-137.0,137,285.571355
-171.0,171,285.879078
-129.0,129,286.092316
-144.0,144,286.359153
-164.0,164,286.638369
