#{"t_start": 1751340380.6091702, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1105.583468
-200.0,200,1105.645919
-200.0,200,1105.70946
-200.0,200,1105.774699
-200.0,200,1105.835652
-200.0,200,1106.068325
-200.0,200,1106.310994
-200.0,200,1106.54594
-200.0,200,1106.788709
-200.0,200,1107.017828
-200.0,200,1107.264413
-200.0,200,1107.494645
-200.0,200,1107.740652
-200.0,200,1107.972894
-200.0,200,1108.217534
-200.0,200,1108.444703
-200.0,200,1108.691391
-200.0,200,1108.93237
-200.0,200,1109.18309
-200.0,200,1109.433667
-200.0,200,1109.686248
-200.0,200,1109.996216
-200.0,200,1110.250483
-200.0,200,1110.490908
-200.0,200,1110.737915
-200.0,200,1110.970906
-200.0,200,1111.222657
-200.0,200,1111.463527
-200.0,200,1111.706271
-200.0,200,1111.941532
-200.0,200,1112.209347
-200.0,200,1112.447575
-200.0,200,1112.787233
-200.0,200,1113.053072
-200.0,200,1113.357483
-200.0,200,1113.639755
-200.0,200,1113.902538
-200.0,200,1114.165954
-200.0,200,1114.475433
-200.0,200,1114.843727
-200.0,200,1115.23824
-200.0,200,1115.509097
-193.0,193,1115.774191
-200.0,200,1116.02707
-200.0,200,1116.330564
-200.0,200,1116.608849
-200.0,200,1116.948857
-200.0,200,1117.271297
-200.0,200,1117.589878
-200.0,200,1117.858277
-112.0,112,1118.027696
-200.0,200,1118.31471
-200.0,200,1118.570993
-200.0,200,1118.840029
-200.0,200,1119.082846
-200.0,200,1119.34545
-200.0,200,1119.591189
-200.0,200,1119.854302
-200.0,200,1120.129621
-200.0,200,1120.402901
-200.0,200,1120.651403
-200.0,200,1120.901926
-200.0,200,1121.226014
-200.0,200,1121.530455
-200.0,200,1121.834576
-200.0,200,1122.209475
-200.0,200,1122.650117
-200.0,200,1122.919536
-200.0,200,1123.142061
-200.0,200,1123.494233
-200.0,200,1123.879233
-115.0,115,1124.073235
-175.0,175,1124.340232
-200.0,200,1124.639238
-200.0,200,1124.882233
-200.0,200,1125.143232
-184.0,184,1125.371232
-200.0,200,1125.627234
-200.0,200,1125.870232
-200.0,200,1126.122232
-200.0,200,1126.382234
-200.0,200,1126.670236
-200.0,200,1126.946232
-200.0,200,1127.239232
-200.0,200,1127.508234
-200.0,200,1127.777235
-186.0,186,1128.014233
-200.0,200,1128.288232
-200.0,200,1128.540234
-200.0,200,1128.900236
-200.0,200,1129.189234
-200.0,200,1129.419232
-200.0,200,1129.641232
-200.0,200,1129.922232
-200.0,200,1130.156235
-200.0,200,1130.403232
-200.0,200,1130.721237
-200.0,200,1131.073233
-200.0,200,1131.331232
-200.0,200,1131.578232
-200.0,200,1131.799232
-200.0,200,1132.034232
-200.0,200,1132.250233
-200.0,200,1132.479232
-200.0,200,1132.691232
-200.0,200,1132.924233
-200.0,200,1133.137232
-200.0,200,1133.363232
-200.0,200,1133.577232
-200.0,200,1133.821232
-200.0,200,1134.037232
-200.0,200,1134.274232
-200.0,200,1134.485232
-200.0,200,1134.708232
-200.0,200,1134.931232
-200.0,200,1135.155232
-200.0,200,1135.368232
-200.0,200,1135.596232
-200.0,200,1135.810232
-200.0,200,1136.036232
-200.0,200,1136.252233
-200.0,200,1136.482232
-200.0,200,1136.723232
-200.0,200,1136.984235
-200.0,200,1137.256232
-200.0,200,1137.504234
-200.0,200,1137.734232
-200.0,200,1137.981235
-200.0,200,1138.249236
-200.0,200,1138.597233
-200.0,200,1138.837233
