#{"t_start": 1751339007.637828, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.652063
-200.0,200,3.914707
-200.0,200,4.174271
-200.0,200,4.43389
-200.0,200,4.689539
-200.0,200,5.511088
-200.0,200,6.47379
-200.0,200,7.601953
-200.0,200,8.538818
-200.0,200,9.420842
-200.0,200,10.364695
-200.0,200,11.190974
-200.0,200,11.998649
-200.0,200,12.845895
-200.0,200,13.750759
-200.0,200,14.471054
-200.0,200,15.293726
-200.0,200,16.004206
-200.0,200,16.933896
-200.0,200,17.638713
-200.0,200,18.720798
-200.0,200,19.59394
-200.0,200,20.538964
-200.0,200,21.313499
-200.0,200,22.104208
-200.0,200,22.935687
-200.0,200,23.741445
-200.0,200,24.42915
-200.0,200,25.218966
-200.0,200,25.969212
-200.0,200,26.756971
-200.0,200,27.364722
-200.0,200,28.016601
-200.0,200,28.593458
-200.0,200,29.220735
-200.0,200,29.811525
-200.0,200,30.462634
-200.0,200,31.099624
-200.0,200,31.764788
-200.0,200,32.379219
-200.0,200,33.106729
-200.0,200,33.795478
-200.0,200,34.627906
-200.0,200,35.388063
-200.0,200,36.119496
-200.0,200,36.804066
-200.0,200,37.55708
-200.0,200,38.256938
-200.0,200,38.962604
-200.0,200,39.62887
-200.0,200,40.36247
-200.0,200,41.01743
-200.0,200,41.743504
-200.0,200,42.4073
-200.0,200,43.103226
-200.0,200,43.843647
-200.0,200,44.542544
-200.0,200,45.227205
-200.0,200,46.161109
-200.0,200,46.865752
-200.0,200,47.580107
-200.0,200,48.363764
-200.0,200,49.084641
-200.0,200,49.790283
-200.0,200,50.465855
-200.0,200,51.075202
-200.0,200,51.773086
-200.0,200,52.417877
-200.0,200,53.127619
-200.0,200,53.740116
-200.0,200,54.384763
-200.0,200,54.984932
-200.0,200,55.665659
-200.0,200,56.292036
-200.0,200,56.929736
-200.0,200,57.535794
-200.0,200,58.171009
-200.0,200,58.830105
-200.0,200,59.471624
-200.0,200,60.082164
-200.0,200,60.716979
-200.0,200,61.350483
-200.0,200,62.022318
-200.0,200,62.714013
-200.0,200,63.36001
-200.0,200,63.972532
-200.0,200,64.717606
-200.0,200,65.472374
-200.0,200,66.196116
-200.0,200,66.864325
-200.0,200,67.682515
-200.0,200,68.378814
-200.0,200,69.085758
-200.0,200,69.771746
-200.0,200,70.529206
-200.0,200,71.228465
-200.0,200,71.942747
-200.0,200,72.614441
-200.0,200,73.634467
-200.0,200,74.318134
-200.0,200,75.102745
-200.0,200,75.865263
-200.0,200,76.613639
-200.0,200,77.290245
-200.0,200,77.99252
-200.0,200,78.663224
-200.0,200,79.291618
-200.0,200,79.947403
-200.0,200,80.659957
-200.0,200,81.385078
-200.0,200,82.114531
-200.0,200,82.827008
-200.0,200,83.524731
-200.0,200,84.199325
-200.0,200,84.909437
-200.0,200,85.608815
-200.0,200,86.324314
-200.0,200,87.005638
-200.0,200,87.720929
-200.0,200,88.430334
-200.0,200,89.219703
-200.0,200,89.961468
-200.0,200,90.68819
-200.0,200,91.415736
-200.0,200,92.194544
-200.0,200,92.892338
-200.0,200,93.626397
-200.0,200,94.314375
-200.0,200,95.134712
-200.0,200,95.824442
-200.0,200,96.552075
-200.0,200,97.257828
-200.0,200,97.988121
-200.0,200,98.604364
-200.0,200,99.261421
-200.0,200,99.877017
-200.0,200,100.808532
-200.0,200,101.503153
-200.0,200,102.146383
-200.0,200,102.827337
-200.0,200,103.50962
-200.0,200,104.130323
-200.0,200,104.789554
-200.0,200,105.469629
-200.0,200,106.203633
-200.0,200,106.836228
-200.0,200,107.52287
-200.0,200,108.286128
-200.0,200,109.016584
-200.0,200,109.741945
-169.0,169,110.327481
-200.0,200,111.053234
-200.0,200,111.746889
-200.0,200,112.485731
-200.0,200,113.17819
-200.0,200,113.896214
-200.0,200,114.565204
-200.0,200,115.314085
-200.0,200,116.01975
-200.0,200,116.805513
-200.0,200,117.552097
-200.0,200,118.292928
-200.0,200,119.018741
-200.0,200,119.739207
-200.0,200,120.493567
-200.0,200,121.270452
-200.0,200,121.988868
-200.0,200,122.712587
-200.0,200,123.350781
-200.0,200,124.059004
-200.0,200,124.785797
-200.0,200,125.505345
-200.0,200,126.12153
-200.0,200,126.778702
-165.0,165,127.266174
-200.0,200,128.038295
-200.0,200,128.748566
-200.0,200,129.367192
-200.0,200,130.041287
-200.0,200,130.741939
-200.0,200,131.389898
-200.0,200,132.006711
-200.0,200,132.661622
-200.0,200,133.334651
-200.0,200,134.00889
-200.0,200,134.639533
-200.0,200,135.435602
-200.0,200,136.139064
-200.0,200,136.883399
-200.0,200,137.549543
-200.0,200,138.250032
-200.0,200,138.928756
-200.0,200,139.67752
-200.0,200,140.348226
-200.0,200,141.058871
-200.0,200,141.734212
-200.0,200,142.460366
-200.0,200,143.145793
-200.0,200,143.876516
-200.0,200,144.531527
-200.0,200,145.201053
-200.0,200,145.895378
-200.0,200,146.572029
-200.0,200,147.255546
-200.0,200,147.961394
-200.0,200,148.679681
-200.0,200,149.482366
-200.0,200,150.159645
-200.0,200,150.871965
-200.0,200,151.581856
-200.0,200,152.298563
-200.0,200,152.968122
-200.0,200,153.696424
-200.0,200,154.403288
-200.0,200,155.283923
-200.0,200,156.088805
-200.0,200,156.810285
-200.0,200,157.613205
-182.0,182,158.277275
-200.0,200,159.018919
-200.0,200,159.757657
-200.0,200,160.466958
-200.0,200,161.27881
-200.0,200,161.991447
-200.0,200,162.776217
-200.0,200,163.494727
-200.0,200,164.210153
-200.0,200,164.893225
-200.0,200,165.662031
-200.0,200,166.371655
-200.0,200,167.078221
-200.0,200,167.739494
-200.0,200,168.453877
-200.0,200,169.120849
-200.0,200,169.870039
-200.0,200,170.541811
-200.0,200,171.279152
-200.0,200,172.029438
-200.0,200,172.8547
-200.0,200,173.522105
-200.0,200,174.242721
-200.0,200,174.914485
-200.0,200,175.636004
-200.0,200,176.325092
-200.0,200,177.055475
-200.0,200,177.73215
-200.0,200,178.464708
-200.0,200,179.146062
-200.0,200,179.950793
-200.0,200,180.621671
-200.0,200,181.357244
-200.0,200,182.066148
-200.0,200,183.054012
-200.0,200,183.738851
-200.0,200,184.484298
-200.0,200,185.276882
-200.0,200,185.997188
-200.0,200,186.735521
-200.0,200,187.532755
-200.0,200,188.220594
-200.0,200,188.906939
-200.0,200,189.55612
-200.0,200,190.280635
-200.0,200,190.922294
-200.0,200,191.559763
-200.0,200,192.187405
-200.0,200,192.843987
-200.0,200,193.508609
-200.0,200,194.212243
-200.0,200,194.900679
-200.0,200,195.62505
-200.0,200,196.303253
-200.0,200,197.06538
-200.0,200,197.734043
-200.0,200,198.525856
-200.0,200,199.299105
-200.0,200,200.054127
-200.0,200,200.796381
-200.0,200,201.495174
-200.0,200,202.155792
-200.0,200,202.907624
-200.0,200,203.589341
-200.0,200,204.346226
-200.0,200,205.214381
-200.0,200,206.026193
-200.0,200,206.811917
-200.0,200,207.546317
-200.0,200,208.308344
-200.0,200,209.027907
-200.0,200,209.670181
-200.0,200,210.476773
-200.0,200,211.11602
-200.0,200,211.793993
-200.0,200,212.466987
-200.0,200,213.129005
-200.0,200,213.74621
-200.0,200,214.451963
-200.0,200,215.093095
-200.0,200,215.746265
-200.0,200,216.369565
-200.0,200,217.041456
-200.0,200,217.739279
-200.0,200,218.346678
-200.0,200,218.917471
-200.0,200,219.525935
-200.0,200,220.188992
-200.0,200,221.054383
-200.0,200,221.740042
-200.0,200,222.458508
-200.0,200,223.136
-200.0,200,223.887809
-200.0,200,224.565962
-200.0,200,225.278138
-200.0,200,225.961692
-200.0,200,226.812328
-200.0,200,227.498755
-200.0,200,228.132717
-200.0,200,228.741832
-200.0,200,229.40466
-200.0,200,230.034814
-200.0,200,230.681452
-200.0,200,231.288876
-200.0,200,231.926076
-200.0,200,232.544632
-200.0,200,233.197297
-200.0,200,233.881209
-200.0,200,234.586013
-200.0,200,235.274517
-200.0,200,236.016
-200.0,200,236.709621
-200.0,200,237.501806
-200.0,200,238.35377
-200.0,200,239.094907
-200.0,200,239.836257
-200.0,200,240.513184
-200.0,200,241.126173
-200.0,200,241.848191
-200.0,200,242.467454
-200.0,200,243.110774
-200.0,200,243.721487
-200.0,200,244.407941
-200.0,200,245.091959
-200.0,200,245.743777
-200.0,200,246.37351
-200.0,200,247.165085
-200.0,200,247.878913
-200.0,200,248.602623
-200.0,200,249.287768
-200.0,200,250.006987
-200.0,200,250.728808
-200.0,200,251.448913
-200.0,200,252.158803
-200.0,200,252.903305
-200.0,200,253.61029
-200.0,200,254.412973
-200.0,200,255.112382
-200.0,200,255.75027
-200.0,200,256.357587
-200.0,200,257.025128
-200.0,200,257.625401
-200.0,200,258.324698
-200.0,200,259.008984
-200.0,200,259.75296
-200.0,200,260.415614
-200.0,200,261.117943
-200.0,200,261.734609
-200.0,200,262.447235
-200.0,200,263.060272
-200.0,200,263.700487
-200.0,200,264.348761
-200.0,200,265.27035
-200.0,200,266.079083
-200.0,200,266.908468
