#{"t_start": 1751339005.694849, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,982.52693
-200.0,200,982.578095
-200.0,200,982.62806
-200.0,200,982.673863
-200.0,200,982.726004
-200.0,200,982.934101
-200.0,200,983.140546
-200.0,200,983.363546
-200.0,200,983.599048
-200.0,200,983.893025
-200.0,200,984.172873
-200.0,200,984.400822
-200.0,200,984.641932
-200.0,200,984.850078
-200.0,200,985.077754
-200.0,200,985.331535
-200.0,200,985.849156
-200.0,200,986.156964
-200.0,200,986.628204
-200.0,200,987.020117
-200.0,200,987.432971
-200.0,200,987.747275
-200.0,200,988.009831
-200.0,200,988.282276
-200.0,200,988.509542
-200.0,200,988.724183
-200.0,200,988.947776
-200.0,200,989.218062
-200.0,200,989.475915
-200.0,200,989.702268
-200.0,200,989.959555
-200.0,200,990.214702
-200.0,200,990.451422
-200.0,200,990.723673
-200.0,200,990.999721
-200.0,200,991.244278
-200.0,200,991.521777
-200.0,200,991.782225
-200.0,200,992.014443
-200.0,200,992.278067
-200.0,200,992.656194
-200.0,200,992.895601
-200.0,200,993.121433
-200.0,200,993.334467
-200.0,200,993.55803
-200.0,200,993.789952
-200.0,200,994.089254
-200.0,200,994.40622
-200.0,200,994.673135
-200.0,200,994.918845
-200.0,200,995.187106
-200.0,200,995.452495
-200.0,200,995.72453
-200.0,200,995.968063
-200.0,200,996.229821
-200.0,200,996.428366
-200.0,200,996.647048
-200.0,200,996.853097
-200.0,200,997.072344
-200.0,200,997.287037
-200.0,200,997.513551
-200.0,200,997.770443
-200.0,200,997.980133
-200.0,200,998.190823
-200.0,200,998.427903
-200.0,200,998.665767
-200.0,200,998.902223
-200.0,200,999.117756
-200.0,200,999.374406
-200.0,200,999.636108
-200.0,200,999.882493
-200.0,200,1000.212972
-200.0,200,1000.496588
-200.0,200,1000.774314
-200.0,200,1001.048064
-200.0,200,1001.357471
-200.0,200,1001.628025
-200.0,200,1001.854686
-200.0,200,1002.122934
-200.0,200,1002.405998
-200.0,200,1002.681091
-200.0,200,1002.934724
-200.0,200,1003.214065
-200.0,200,1003.445973
-200.0,200,1003.673406
-200.0,200,1003.938064
-200.0,200,1004.145705
-200.0,200,1004.427634
-200.0,200,1004.67252
-200.0,200,1004.893922
-200.0,200,1005.147017
-200.0,200,1005.352846
-200.0,200,1005.57475
-200.0,200,1005.814616
-200.0,200,1006.028561
-200.0,200,1006.33141
-200.0,200,1006.624271
-200.0,200,1006.887038
-200.0,200,1007.109449
-200.0,200,1007.294656
-200.0,200,1007.502331
-200.0,200,1007.702572
-200.0,200,1007.96121
-200.0,200,1008.148033
-200.0,200,1008.338649
-200.0,200,1008.600508
-200.0,200,1008.861569
-200.0,200,1009.154987
-200.0,200,1009.426199
-200.0,200,1009.661082
-200.0,200,1009.89704
-200.0,200,1010.073864
-200.0,200,1010.264658
-200.0,200,1010.490956
-200.0,200,1010.757088
-200.0,200,1010.957709
-200.0,200,1011.180553
-200.0,200,1011.378165
-200.0,200,1011.593251
-200.0,200,1011.799016
-200.0,200,1012.055773
-200.0,200,1012.287596
-200.0,200,1012.563092
-200.0,200,1012.778017
-200.0,200,1013.099753
-200.0,200,1013.406798
-200.0,200,1013.64327
-200.0,200,1013.994995
-200.0,200,1014.226074
-200.0,200,1014.431593
-200.0,200,1014.695769
-200.0,200,1014.902129
-200.0,200,1015.134339
-200.0,200,1015.336439
-200.0,200,1015.570401
-200.0,200,1015.793298
-200.0,200,1016.208311
-200.0,200,1016.524405
-200.0,200,1016.86457
-200.0,200,1017.062971
-200.0,200,1017.283844
-200.0,200,1017.540513
-200.0,200,1017.790828
-200.0,200,1018.039426
-200.0,200,1018.25876
-200.0,200,1018.466789
-200.0,200,1018.690165
-172.0,172,1018.876577
-200.0,200,1019.074707
-200.0,200,1019.291197
-200.0,200,1019.514063
-200.0,200,1019.725779
-200.0,200,1019.920986
-200.0,200,1020.131732
-200.0,200,1020.323349
-187.0,187,1020.594244
-200.0,200,1020.891799
-200.0,200,1021.109863
-200.0,200,1021.371016
-200.0,200,1021.592935
-200.0,200,1021.8113
-200.0,200,1022.045854
-200.0,200,1022.32708
-200.0,200,1022.556709
-200.0,200,1022.801868
-200.0,200,1023.089552
-200.0,200,1023.353041
-200.0,200,1023.583379
-200.0,200,1023.862449
-200.0,200,1024.104463
-200.0,200,1024.294487
-200.0,200,1024.486723
-200.0,200,1024.764139
-200.0,200,1025.05279
-200.0,200,1025.319817
-200.0,200,1025.589548
-200.0,200,1025.886664
-200.0,200,1026.084717
-200.0,200,1026.263665
-200.0,200,1026.511098
-200.0,200,1026.713055
-200.0,200,1026.901465
-200.0,200,1027.084546
-200.0,200,1027.274607
-200.0,200,1027.448923
-200.0,200,1027.637871
-200.0,200,1027.811798
-200.0,200,1027.99647
-200.0,200,1028.176942
-200.0,200,1028.370153
-200.0,200,1028.547044
-157.0,157,1028.696158
-200.0,200,1028.882504
-200.0,200,1029.063389
-200.0,200,1029.252607
-200.0,200,1029.42341
-182.0,182,1029.590436
-200.0,200,1029.766472
-200.0,200,1029.951697
-200.0,200,1030.125664
-200.0,200,1030.314136
-200.0,200,1030.487067
-200.0,200,1030.677046
-200.0,200,1030.847783
-200.0,200,1031.031437
-200.0,200,1031.218738
-172.0,172,1031.388062
-200.0,200,1031.557025
-188.0,188,1031.728078
-200.0,200,1031.984095
-200.0,200,1032.217737
-200.0,200,1032.45145
-200.0,200,1032.694676
-200.0,200,1032.905699
-200.0,200,1033.09845
-200.0,200,1033.349696
-200.0,200,1033.554193
-200.0,200,1033.756068
-200.0,200,1034.047079
