#{"t_start": 1751340372.314442, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.264582
-200.0,200,0.507749
-200.0,200,0.755267
-200.0,200,0.995329
-200.0,200,1.254715
-200.0,200,1.923149
-200.0,200,2.629252
-200.0,200,3.375179
-200.0,200,4.209694
-200.0,200,4.940313
-200.0,200,5.673157
-200.0,200,6.339176
-200.0,200,7.040872
-200.0,200,7.727325
-200.0,200,8.443403
-200.0,200,9.139053
-200.0,200,9.877193
-200.0,200,10.643163
-200.0,200,11.425676
-200.0,200,12.14383
-200.0,200,12.885695
-200.0,200,13.593885
-200.0,200,14.38503
-200.0,200,15.069666
-200.0,200,15.830063
-200.0,200,16.534972
-200.0,200,17.252732
-200.0,200,17.943887
-200.0,200,18.671333
-200.0,200,19.362296
-200.0,200,20.122685
-200.0,200,20.795698
-200.0,200,21.504689
-200.0,200,22.238364
-200.0,200,22.954245
-200.0,200,23.640349
-200.0,200,24.386694
-200.0,200,25.389735
-200.0,200,26.155051
-200.0,200,26.880291
-200.0,200,27.653963
-160.0,160,28.223172
-200.0,200,28.90116
-200.0,200,29.626702
-171.0,171,30.256236
-200.0,200,30.941775
-200.0,200,31.725216
-200.0,200,32.492737
-121.0,121,32.910125
-200.0,200,33.603171
-200.0,200,34.350185
-196.0,196,35.032188
-200.0,200,35.707103
-200.0,200,36.442683
-172.0,172,37.049719
-200.0,200,37.805683
-140.0,140,38.283762
-161.0,161,38.908222
-123.0,123,39.313773
-200.0,200,39.993384
-200.0,200,40.754904
-200.0,200,41.517688
-200.0,200,42.250713
-200.0,200,42.9467
-200.0,200,43.684554
-200.0,200,44.367703
-200.0,200,45.081713
-184.0,184,45.702253
-200.0,200,46.46669
-200.0,200,47.149698
-200.0,200,47.858717
-181.0,181,48.481213
-200.0,200,49.254739
-200.0,200,49.939698
-200.0,200,50.656412
-200.0,200,51.338684
-200.0,200,52.094194
-200.0,200,53.061801
-200.0,200,53.778246
-200.0,200,54.574045
-200.0,200,55.327112
-200.0,200,56.033389
-200.0,200,56.860186
-200.0,200,57.552829
-200.0,200,58.294696
-200.0,200,58.983198
-200.0,200,59.803591
-200.0,200,60.507427
-200.0,200,61.254035
-200.0,200,61.93187
-200.0,200,62.643687
-200.0,200,63.329207
-200.0,200,64.065617
-200.0,200,64.808226
-200.0,200,65.52413
-200.0,200,66.213221
-200.0,200,66.949731
-200.0,200,67.655221
-200.0,200,68.38969
-200.0,200,69.161815
-200.0,200,69.909718
-200.0,200,70.68884
-200.0,200,71.416684
-200.0,200,72.110235
-200.0,200,72.828226
-200.0,200,73.557243
-200.0,200,74.280774
-200.0,200,75.014091
-200.0,200,75.743247
-200.0,200,76.461191
-200.0,200,77.19027
-200.0,200,77.862226
-200.0,200,78.578633
-200.0,200,79.372908
-200.0,200,80.314797
-200.0,200,81.011554
-200.0,200,81.760239
-200.0,200,82.735183
-200.0,200,83.444243
-200.0,200,84.145213
-200.0,200,84.869229
-200.0,200,85.565307
-200.0,200,86.31023
-200.0,200,87.126245
-200.0,200,87.941513
-200.0,200,88.663057
-200.0,200,89.374837
-200.0,200,90.0567
-200.0,200,90.770699
-200.0,200,91.465726
-200.0,200,92.194125
-200.0,200,92.860748
-200.0,200,93.577191
-200.0,200,94.360788
-200.0,200,95.079812
-200.0,200,95.768742
-200.0,200,96.587705
-200.0,200,97.305186
-200.0,200,98.034791
-200.0,200,98.730741
-200.0,200,99.444721
-200.0,200,100.144915
-200.0,200,100.903217
-200.0,200,101.587508
-200.0,200,102.305405
-200.0,200,103.014521
-200.0,200,103.812114
-200.0,200,104.495206
-200.0,200,105.304213
-200.0,200,106.011755
-200.0,200,106.812787
-200.0,200,107.685249
-200.0,200,108.428751
-200.0,200,109.121247
-200.0,200,109.883234
-200.0,200,110.58328
-200.0,200,111.300714
-200.0,200,112.003262
-200.0,200,112.831762
-200.0,200,113.517213
-200.0,200,114.323763
-200.0,200,115.030211
-200.0,200,115.778725
-200.0,200,116.457677
-200.0,200,117.18286
-200.0,200,117.860198
-200.0,200,118.696452
-200.0,200,119.366717
-200.0,200,120.09277
-200.0,200,120.835099
-200.0,200,121.579694
-200.0,200,122.264779
-200.0,200,122.996771
-200.0,200,123.751212
-200.0,200,124.534839
-200.0,200,125.222215
-200.0,200,125.940091
-200.0,200,126.715756
-200.0,200,127.465018
-200.0,200,128.167708
-200.0,200,128.895242
-193.0,193,129.669242
-200.0,200,130.514912
-200.0,200,131.265229
-200.0,200,132.0664
-198.0,198,132.792257
-200.0,200,133.550742
-167.0,167,134.111709
-200.0,200,135.033448
-200.0,200,135.721911
-200.0,200,136.470753
-200.0,200,137.233243
-196.0,196,137.942746
-190.0,190,138.762265
-200.0,200,139.464824
-199.0,199,140.305339
-168.0,168,140.92225
-200.0,200,141.63644
-186.0,186,142.396473
-196.0,196,143.153723
-163.0,163,143.743245
-187.0,187,144.412766
-200.0,200,145.152881
-194.0,194,145.904829
-200.0,200,146.606722
-197.0,197,147.315747
-197.0,197,148.014227
-200.0,200,148.727706
-139.0,139,149.19827
-199.0,199,149.906376
-158.0,158,150.42776
-190.0,190,151.155288
-200.0,200,151.91313
-163.0,163,152.473793
-200.0,200,153.205748
-165.0,165,153.744831
-200.0,200,154.450231
-189.0,189,155.10677
-188.0,188,155.815633
-162.0,162,156.363508
-199.0,199,157.051775
-139.0,139,157.539803
-169.0,169,158.1328
-154.0,154,158.646345
-138.0,138,159.174097
-133.0,133,159.591227
-200.0,200,160.328772
-139.0,139,160.772237
-191.0,191,161.440455
-138.0,138,161.987409
-198.0,198,162.820439
-163.0,163,163.434899
-200.0,200,164.154759
-133.0,133,164.640709
-138.0,138,165.103871
-168.0,168,165.701095
-136.0,136,166.15982
-137.0,137,166.627741
-190.0,190,167.252789
-139.0,139,167.719875
-139.0,139,168.197783
-164.0,164,168.837412
-139.0,139,169.397244
-136.0,136,169.832281
-143.0,143,170.306762
-137.0,137,170.801763
-142.0,142,171.278301
-136.0,136,171.697743
-135.0,135,172.243248
-138.0,138,172.679462
-139.0,139,173.153751
-170.0,170,173.736693
-136.0,136,174.178434
-136.0,136,174.64677
-165.0,165,175.226475
-158.0,158,175.771728
-138.0,138,176.325234
-139.0,139,176.801368
-162.0,162,177.359837
-153.0,153,177.898733
-164.0,164,178.559839
-161.0,161,179.119347
-141.0,141,179.585246
-199.0,199,180.332834
-136.0,136,180.814838
-148.0,148,181.33778
-135.0,135,181.772765
-157.0,157,182.318786
-142.0,142,182.804291
-162.0,162,183.353767
-136.0,136,183.827279
-135.0,135,184.294591
-134.0,134,184.76228
-132.0,132,185.194271
