episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,30.0,30.0,30.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,60.0,60.0,60.0
6,0.0,0.0,0.0
7,20.0,20.0,20.0
8,0.0,0.0,0.0
9,30.0,30.0,30.0
10,60.0,60.0,60.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,30.0,30.0,30.0
14,30.0,30.0,30.0
15,0.0,0.0,0.0
16,20.0,20.0,20.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,30.0,30.0,30.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,30.0,30.0,30.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,30.0,30.0,30.0
35,0.0,0.0,0.0
36,30.0,30.0,30.0
37,30.0,30.0,30.0
38,0.0,0.0,0.0
39,40.0,40.0,40.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,40.0,40.0,40.0
43,60.0,60.0,60.0
44,40.0,40.0,40.0
45,0.0,0.0,0.0
46,20.0,20.0,20.0
47,0.0,0.0,0.0
48,50.0,50.0,50.0
49,30.0,30.0,30.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,30.0,30.0,30.0
57,30.0,30.0,30.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,20.0,20.0,20.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,30.0,30.0,30.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,30.0,30.0,30.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,60.0,60.0,60.0
77,40.0,40.0,40.0
78,30.0,30.0,30.0
79,0.0,0.0,0.0
80,60.0,60.0,60.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,20.0,20.0,20.0
89,0.0,0.0,0.0
90,20.0,20.0,20.0
91,0.0,0.0,0.0
92,20.0,20.0,20.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,20.0,20.0,20.0
96,30.0,30.0,30.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,20.0,20.0,20.0
102,0.0,0.0,0.0
103,10.0,10.0,10.0
104,0.0,0.0,0.0
105,20.0,20.0,20.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,100.0,100.0,100.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,30.0,30.0,30.0
118,30.0,30.0,30.0
119,0.0,0.0,0.0
120,30.0,30.0,30.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,70.0,70.0,70.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,60.0,60.0,60.0
127,30.0,30.0,30.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,30.0,30.0,30.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,30.0,30.0,30.0
135,10.0,10.0,10.0
136,30.0,30.0,30.0
137,90.0,90.0,90.0
138,10.0,10.0,10.0
139,50.0,50.0,50.0
140,30.0,30.0,30.0
141,30.0,30.0,30.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,30.0,30.0,30.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,60.0,60.0,60.0
148,30.0,30.0,30.0
149,0.0,0.0,0.0
150,30.0,30.0,30.0
151,40.0,40.0,40.0
152,10.0,10.0,10.0
153,30.0,30.0,30.0
154,70.0,70.0,70.0
155,0.0,0.0,0.0
156,70.0,70.0,70.0
157,40.0,40.0,40.0
158,0.0,0.0,0.0
159,50.0,50.0,50.0
160,30.0,30.0,30.0
161,0.0,0.0,0.0
162,60.0,60.0,60.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,100.0,100.0,100.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,50.0,50.0,50.0
170,20.0,20.0,20.0
171,70.0,70.0,70.0
172,0.0,0.0,0.0
173,40.0,40.0,40.0
174,10.0,10.0,10.0
175,0.0,0.0,0.0
176,60.0,60.0,60.0
177,0.0,0.0,0.0
178,20.0,20.0,20.0
179,0.0,0.0,0.0
180,20.0,20.0,20.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,10.0,10.0,10.0
184,0.0,0.0,0.0
185,30.0,30.0,30.0
186,0.0,0.0,0.0
187,60.0,60.0,60.0
188,40.0,40.0,40.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,50.0,50.0,50.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,10.0,10.0,10.0
197,30.0,30.0,30.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,10.0,10.0,10.0
201,60.0,60.0,60.0
202,30.0,30.0,30.0
203,50.0,50.0,50.0
204,0.0,0.0,0.0
205,30.0,30.0,30.0
206,0.0,0.0,0.0
