episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,50.0,50.0,50.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,20.0,20.0,20.0
17,0.0,0.0,0.0
18,40.0,40.0,40.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,40.0,40.0,40.0
24,30.0,30.0,30.0
25,0.0,0.0,0.0
26,30.0,30.0,30.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,30.0,30.0,30.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,30.0,30.0,30.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,40.0,40.0,40.0
38,30.0,30.0,30.0
39,60.0,60.0,60.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,70.0,70.0,70.0
43,50.0,50.0,50.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,30.0,30.0,30.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,30.0,30.0,30.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,90.0,90.0,90.0
60,30.0,30.0,30.0
61,0.0,0.0,0.0
62,10.0,10.0,10.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,40.0,40.0,40.0
68,40.0,40.0,40.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,20.0,20.0,20.0
72,0.0,0.0,0.0
73,20.0,20.0,20.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,20.0,20.0,20.0
87,0.0,0.0,0.0
88,30.0,30.0,30.0
89,30.0,30.0,30.0
90,20.0,20.0,20.0
91,0.0,0.0,0.0
92,30.0,30.0,30.0
93,30.0,30.0,30.0
94,30.0,30.0,30.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,30.0,30.0,30.0
99,30.0,30.0,30.0
100,30.0,30.0,30.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,30.0,30.0,30.0
105,0.0,0.0,0.0
106,10.0,10.0,10.0
107,0.0,0.0,0.0
108,30.0,30.0,30.0
109,0.0,0.0,0.0
110,20.0,20.0,20.0
111,30.0,30.0,30.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,20.0,20.0,20.0
115,30.0,30.0,30.0
116,0.0,0.0,0.0
117,20.0,20.0,20.0
118,40.0,40.0,40.0
119,50.0,50.0,50.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,30.0,30.0,30.0
126,30.0,30.0,30.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,70.0,70.0,70.0
130,60.0,60.0,60.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,20.0,20.0,20.0
134,0.0,0.0,0.0
135,80.0,80.0,80.0
136,30.0,30.0,30.0
137,40.0,40.0,40.0
138,30.0,30.0,30.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,40.0,40.0,40.0
142,0.0,0.0,0.0
143,20.0,20.0,20.0
144,0.0,0.0,0.0
145,30.0,30.0,30.0
146,0.0,0.0,0.0
147,30.0,30.0,30.0
148,100.0,100.0,100.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,50.0,50.0,50.0
153,40.0,40.0,40.0
154,60.0,60.0,60.0
155,30.0,30.0,30.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,20.0,20.0,20.0
159,20.0,20.0,20.0
160,60.0,60.0,60.0
161,30.0,30.0,30.0
162,30.0,30.0,30.0
163,0.0,0.0,0.0
164,80.0,80.0,80.0
165,20.0,20.0,20.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,50.0,50.0,50.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,50.0,50.0,50.0
172,20.0,20.0,20.0
173,20.0,20.0,20.0
174,30.0,30.0,30.0
175,0.0,0.0,0.0
176,50.0,50.0,50.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,30.0,30.0,30.0
181,0.0,0.0,0.0
182,60.0,60.0,60.0
183,70.0,70.0,70.0
184,0.0,0.0,0.0
185,60.0,60.0,60.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,50.0,50.0,50.0
190,40.0,40.0,40.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,20.0,20.0,20.0
196,40.0,40.0,40.0
197,0.0,0.0,0.0
198,60.0,60.0,60.0
199,20.0,20.0,20.0
200,10.0,10.0,10.0
201,20.0,20.0,20.0
202,20.0,20.0,20.0
203,10.0,10.0,10.0
204,30.0,30.0,30.0
205,0.0,0.0,0.0
206,20.0,20.0,20.0
