episode,adversary_0,adversary_1,adversary_2
0,20.0,20.0,20.0
1,20.0,20.0,20.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,30.0,30.0,30.0
6,20.0,20.0,20.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,50.0,50.0,50.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,60.0,60.0,60.0
13,50.0,50.0,50.0
14,20.0,20.0,20.0
15,20.0,20.0,20.0
16,30.0,30.0,30.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,20.0,20.0,20.0
23,30.0,30.0,30.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,60.0,60.0,60.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,30.0,30.0,30.0
43,30.0,30.0,30.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,20.0,20.0,20.0
49,30.0,30.0,30.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,40.0,40.0,40.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,30.0,30.0,30.0
59,60.0,60.0,60.0
60,10.0,10.0,10.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,50.0,50.0,50.0
68,0.0,0.0,0.0
69,30.0,30.0,30.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,30.0,30.0,30.0
78,20.0,20.0,20.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,30.0,30.0,30.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,60.0,60.0,60.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,50.0,50.0,50.0
93,40.0,40.0,40.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,20.0,20.0,20.0
102,30.0,30.0,30.0
103,0.0,0.0,0.0
104,30.0,30.0,30.0
105,20.0,20.0,20.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,30.0,30.0,30.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,20.0,20.0,20.0
115,0.0,0.0,0.0
116,20.0,20.0,20.0
117,60.0,60.0,60.0
118,40.0,40.0,40.0
119,0.0,0.0,0.0
120,20.0,20.0,20.0
121,30.0,30.0,30.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,30.0,30.0,30.0
128,50.0,50.0,50.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,30.0,30.0,30.0
132,30.0,30.0,30.0
133,0.0,0.0,0.0
134,50.0,50.0,50.0
135,80.0,80.0,80.0
136,0.0,0.0,0.0
137,40.0,40.0,40.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,30.0,30.0,30.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,60.0,60.0,60.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,30.0,30.0,30.0
153,100.0,100.0,100.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,30.0,30.0,30.0
159,40.0,40.0,40.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,20.0,20.0,20.0
166,30.0,30.0,30.0
167,40.0,40.0,40.0
168,30.0,30.0,30.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,20.0,20.0,20.0
174,30.0,30.0,30.0
175,0.0,0.0,0.0
176,30.0,30.0,30.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,10.0,10.0,10.0
183,50.0,50.0,50.0
184,0.0,0.0,0.0
185,30.0,30.0,30.0
186,30.0,30.0,30.0
187,30.0,30.0,30.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,20.0,20.0,20.0
191,0.0,0.0,0.0
192,20.0,20.0,20.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,30.0,30.0,30.0
197,0.0,0.0,0.0
198,20.0,20.0,20.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,30.0,30.0,30.0
202,50.0,50.0,50.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,40.0,40.0,40.0
206,20.0,20.0,20.0
207,10.0,10.0,10.0
208,0.0,0.0,0.0
209,60.0,60.0,60.0
210,30.0,30.0,30.0
211,10.0,10.0,10.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,30.0,30.0,30.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,30.0,30.0,30.0
219,70.0,70.0,70.0
220,0.0,0.0,0.0
221,30.0,30.0,30.0
222,50.0,50.0,50.0
223,30.0,30.0,30.0
224,0.0,0.0,0.0
225,40.0,40.0,40.0
226,80.0,80.0,80.0
227,30.0,30.0,30.0
228,0.0,0.0,0.0
229,30.0,30.0,30.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,50.0,50.0,50.0
233,30.0,30.0,30.0
234,30.0,30.0,30.0
235,100.0,100.0,100.0
236,60.0,60.0,60.0
237,0.0,0.0,0.0
238,60.0,60.0,60.0
239,0.0,0.0,0.0
240,60.0,60.0,60.0
241,80.0,80.0,80.0
242,0.0,0.0,0.0
243,120.0,120.0,120.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
