episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,30.0,30.0,30.0
8,0.0,0.0,0.0
9,50.0,50.0,50.0
10,30.0,30.0,30.0
11,30.0,30.0,30.0
12,30.0,30.0,30.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,20.0,20.0,20.0
23,40.0,40.0,40.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,30.0,30.0,30.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,20.0,20.0,20.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,30.0,30.0,30.0
40,0.0,0.0,0.0
41,20.0,20.0,20.0
42,60.0,60.0,60.0
43,30.0,30.0,30.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,20.0,20.0,20.0
50,0.0,0.0,0.0
51,10.0,10.0,10.0
52,50.0,50.0,50.0
53,0.0,0.0,0.0
54,30.0,30.0,30.0
55,30.0,30.0,30.0
56,30.0,30.0,30.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,30.0,30.0,30.0
60,60.0,60.0,60.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,30.0,30.0,30.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,20.0,20.0,20.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,30.0,30.0,30.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,20.0,20.0,20.0
76,20.0,20.0,20.0
77,30.0,30.0,30.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,30.0,30.0,30.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,20.0,20.0,20.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,20.0,20.0,20.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,30.0,30.0,30.0
96,10.0,10.0,10.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,80.0,80.0,80.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,30.0,30.0,30.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,30.0,30.0,30.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,50.0,50.0,50.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,70.0,70.0,70.0
115,10.0,10.0,10.0
116,20.0,20.0,20.0
117,0.0,0.0,0.0
118,20.0,20.0,20.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,30.0,30.0,30.0
123,40.0,40.0,40.0
124,0.0,0.0,0.0
125,20.0,20.0,20.0
126,0.0,0.0,0.0
127,30.0,30.0,30.0
128,40.0,40.0,40.0
129,40.0,40.0,40.0
130,50.0,50.0,50.0
131,0.0,0.0,0.0
132,30.0,30.0,30.0
133,0.0,0.0,0.0
134,50.0,50.0,50.0
135,40.0,40.0,40.0
136,0.0,0.0,0.0
137,10.0,10.0,10.0
138,30.0,30.0,30.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,30.0,30.0,30.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,20.0,20.0,20.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,20.0,20.0,20.0
149,30.0,30.0,30.0
150,50.0,50.0,50.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,40.0,40.0,40.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,30.0,30.0,30.0
157,20.0,20.0,20.0
158,30.0,30.0,30.0
159,60.0,60.0,60.0
160,30.0,30.0,30.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,20.0,20.0,20.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,40.0,40.0,40.0
168,30.0,30.0,30.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,10.0,10.0,10.0
174,30.0,30.0,30.0
175,0.0,0.0,0.0
176,40.0,40.0,40.0
177,50.0,50.0,50.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,80.0,80.0,80.0
181,0.0,0.0,0.0
182,30.0,30.0,30.0
183,10.0,10.0,10.0
184,30.0,30.0,30.0
185,60.0,60.0,60.0
186,0.0,0.0,0.0
187,30.0,30.0,30.0
188,0.0,0.0,0.0
189,30.0,30.0,30.0
190,40.0,40.0,40.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,50.0,50.0,50.0
194,0.0,0.0,0.0
195,30.0,30.0,30.0
196,0.0,0.0,0.0
197,40.0,40.0,40.0
198,70.0,70.0,70.0
199,20.0,20.0,20.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,50.0,50.0,50.0
203,0.0,0.0,0.0
204,50.0,50.0,50.0
205,0.0,0.0,0.0
206,30.0,30.0,30.0
