episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,30.0,30.0,30.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,20.0,20.0,20.0
10,30.0,30.0,30.0
11,0.0,0.0,0.0
12,30.0,30.0,30.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,30.0,30.0,30.0
23,30.0,30.0,30.0
24,0.0,0.0,0.0
25,30.0,30.0,30.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,30.0,30.0,30.0
40,40.0,40.0,40.0
41,0.0,0.0,0.0
42,30.0,30.0,30.0
43,20.0,20.0,20.0
44,20.0,20.0,20.0
45,20.0,20.0,20.0
46,10.0,10.0,10.0
47,0.0,0.0,0.0
48,20.0,20.0,20.0
49,40.0,40.0,40.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,30.0,30.0,30.0
58,30.0,30.0,30.0
59,110.0,110.0,110.0
60,0.0,0.0,0.0
61,70.0,70.0,70.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,30.0,30.0,30.0
68,10.0,10.0,10.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,30.0,30.0,30.0
75,0.0,0.0,0.0
76,30.0,30.0,30.0
77,0.0,0.0,0.0
78,100.0,100.0,100.0
79,0.0,0.0,0.0
80,50.0,50.0,50.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,60.0,60.0,60.0
86,0.0,0.0,0.0
87,30.0,30.0,30.0
88,50.0,50.0,50.0
89,50.0,50.0,50.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,20.0,20.0,20.0
100,0.0,0.0,0.0
101,90.0,90.0,90.0
102,20.0,20.0,20.0
103,0.0,0.0,0.0
104,80.0,80.0,80.0
105,0.0,0.0,0.0
106,40.0,40.0,40.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,20.0,20.0,20.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,30.0,30.0,30.0
114,30.0,30.0,30.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,20.0,20.0,20.0
121,30.0,30.0,30.0
122,0.0,0.0,0.0
123,30.0,30.0,30.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,30.0,30.0,30.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,40.0,40.0,40.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,90.0,90.0,90.0
146,0.0,0.0,0.0
147,40.0,40.0,40.0
148,30.0,30.0,30.0
149,30.0,30.0,30.0
150,60.0,60.0,60.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,40.0,40.0,40.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,20.0,20.0,20.0
159,20.0,20.0,20.0
160,80.0,80.0,80.0
161,0.0,0.0,0.0
162,90.0,90.0,90.0
163,0.0,0.0,0.0
164,20.0,20.0,20.0
165,20.0,20.0,20.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,30.0,30.0,30.0
169,60.0,60.0,60.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,30.0,30.0,30.0
175,0.0,0.0,0.0
176,20.0,20.0,20.0
177,30.0,30.0,30.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,70.0,70.0,70.0
184,0.0,0.0,0.0
185,40.0,40.0,40.0
186,60.0,60.0,60.0
187,10.0,10.0,10.0
188,0.0,0.0,0.0
189,60.0,60.0,60.0
190,0.0,0.0,0.0
191,30.0,30.0,30.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,20.0,20.0,20.0
199,0.0,0.0,0.0
200,30.0,30.0,30.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,40.0,40.0,40.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
