episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,60.0,60.0,60.0
4,20.0,20.0,20.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,20.0,20.0,20.0
8,40.0,40.0,40.0
9,30.0,30.0,30.0
10,20.0,20.0,20.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,30.0,30.0,30.0
17,0.0,0.0,0.0
18,20.0,20.0,20.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,60.0,60.0,60.0
23,60.0,60.0,60.0
24,0.0,0.0,0.0
25,10.0,10.0,10.0
26,0.0,0.0,0.0
27,20.0,20.0,20.0
28,0.0,0.0,0.0
29,30.0,30.0,30.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,30.0,30.0,30.0
38,20.0,20.0,20.0
39,60.0,60.0,60.0
40,20.0,20.0,20.0
41,0.0,0.0,0.0
42,20.0,20.0,20.0
43,0.0,0.0,0.0
44,30.0,30.0,30.0
45,60.0,60.0,60.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,30.0,30.0,30.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,20.0,20.0,20.0
55,20.0,20.0,20.0
56,0.0,0.0,0.0
57,30.0,30.0,30.0
58,20.0,20.0,20.0
59,30.0,30.0,30.0
60,110.0,110.0,110.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,20.0,20.0,20.0
66,0.0,0.0,0.0
67,60.0,60.0,60.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,30.0,30.0,30.0
77,0.0,0.0,0.0
78,30.0,30.0,30.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,40.0,40.0,40.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,10.0,10.0,10.0
93,30.0,30.0,30.0
94,40.0,40.0,40.0
95,60.0,60.0,60.0
96,40.0,40.0,40.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,30.0,30.0,30.0
101,30.0,30.0,30.0
102,30.0,30.0,30.0
103,40.0,40.0,40.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,50.0,50.0,50.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,30.0,30.0,30.0
123,10.0,10.0,10.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,60.0,60.0,60.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,30.0,30.0,30.0
133,70.0,70.0,70.0
134,70.0,70.0,70.0
135,30.0,30.0,30.0
136,0.0,0.0,0.0
137,70.0,70.0,70.0
138,0.0,0.0,0.0
139,30.0,30.0,30.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,30.0,30.0,30.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,50.0,50.0,50.0
150,40.0,40.0,40.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,10.0,10.0,10.0
154,60.0,60.0,60.0
155,50.0,50.0,50.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,60.0,60.0,60.0
160,0.0,0.0,0.0
161,30.0,30.0,30.0
162,20.0,20.0,20.0
163,0.0,0.0,0.0
164,70.0,70.0,70.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,30.0,30.0,30.0
169,30.0,30.0,30.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,30.0,30.0,30.0
174,0.0,0.0,0.0
175,10.0,10.0,10.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,50.0,50.0,50.0
181,0.0,0.0,0.0
182,30.0,30.0,30.0
183,40.0,40.0,40.0
184,30.0,30.0,30.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,30.0,30.0,30.0
188,30.0,30.0,30.0
189,20.0,20.0,20.0
190,70.0,70.0,70.0
191,0.0,0.0,0.0
192,30.0,30.0,30.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,40.0,40.0,40.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,20.0,20.0,20.0
201,0.0,0.0,0.0
202,20.0,20.0,20.0
203,30.0,30.0,30.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,60.0,60.0,60.0
