episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,40.0,40.0,40.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,40.0,40.0,40.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,20.0,20.0,20.0
14,30.0,30.0,30.0
15,0.0,0.0,0.0
16,30.0,30.0,30.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,30.0,30.0,30.0
22,0.0,0.0,0.0
23,30.0,30.0,30.0
24,0.0,0.0,0.0
25,20.0,20.0,20.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,30.0,30.0,30.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,70.0,70.0,70.0
33,30.0,30.0,30.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,70.0,70.0,70.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,30.0,30.0,30.0
40,30.0,30.0,30.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,70.0,70.0,70.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,20.0,20.0,20.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,20.0,20.0,20.0
60,40.0,40.0,40.0
61,30.0,30.0,30.0
62,0.0,0.0,0.0
63,80.0,80.0,80.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,30.0,30.0,30.0
68,20.0,20.0,20.0
69,30.0,30.0,30.0
70,20.0,20.0,20.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,30.0,30.0,30.0
77,0.0,0.0,0.0
78,20.0,20.0,20.0
79,50.0,50.0,50.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,30.0,30.0,30.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,40.0,40.0,40.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,60.0,60.0,60.0
91,50.0,50.0,50.0
92,40.0,40.0,40.0
93,0.0,0.0,0.0
94,40.0,40.0,40.0
95,0.0,0.0,0.0
96,30.0,30.0,30.0
97,0.0,0.0,0.0
98,20.0,20.0,20.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,70.0,70.0,70.0
104,30.0,30.0,30.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,20.0,20.0,20.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,30.0,30.0,30.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,120.0,120.0,120.0
126,0.0,0.0,0.0
127,50.0,50.0,50.0
128,0.0,0.0,0.0
129,30.0,30.0,30.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,30.0,30.0,30.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,50.0,50.0,50.0
138,0.0,0.0,0.0
139,60.0,60.0,60.0
140,30.0,30.0,30.0
141,0.0,0.0,0.0
142,30.0,30.0,30.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,20.0,20.0,20.0
146,30.0,30.0,30.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,10.0,10.0,10.0
150,30.0,30.0,30.0
151,0.0,0.0,0.0
152,30.0,30.0,30.0
153,50.0,50.0,50.0
154,40.0,40.0,40.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,20.0,20.0,20.0
161,0.0,0.0,0.0
162,30.0,30.0,30.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,40.0,40.0,40.0
167,0.0,0.0,0.0
168,30.0,30.0,30.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,20.0,20.0,20.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,40.0,40.0,40.0
177,30.0,30.0,30.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,60.0,60.0,60.0
181,30.0,30.0,30.0
182,0.0,0.0,0.0
183,10.0,10.0,10.0
184,0.0,0.0,0.0
185,30.0,30.0,30.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,30.0,30.0,30.0
190,30.0,30.0,30.0
191,30.0,30.0,30.0
192,0.0,0.0,0.0
193,30.0,30.0,30.0
194,20.0,20.0,20.0
195,20.0,20.0,20.0
196,70.0,70.0,70.0
197,40.0,40.0,40.0
198,30.0,30.0,30.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,30.0,30.0,30.0
203,30.0,30.0,30.0
204,70.0,70.0,70.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
