episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,20.0,20.0,20.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,30.0,30.0,30.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,50.0,50.0,50.0
10,50.0,50.0,50.0
11,20.0,20.0,20.0
12,20.0,20.0,20.0
13,30.0,30.0,30.0
14,0.0,0.0,0.0
15,30.0,30.0,30.0
16,40.0,40.0,40.0
17,40.0,40.0,40.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,40.0,40.0,40.0
23,50.0,50.0,50.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,30.0,30.0,30.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,30.0,30.0,30.0
35,20.0,20.0,20.0
36,0.0,0.0,0.0
37,40.0,40.0,40.0
38,20.0,20.0,20.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,30.0,30.0,30.0
43,50.0,50.0,50.0
44,0.0,0.0,0.0
45,50.0,50.0,50.0
46,30.0,30.0,30.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,20.0,20.0,20.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,50.0,50.0,50.0
57,30.0,30.0,30.0
58,20.0,20.0,20.0
59,50.0,50.0,50.0
60,30.0,30.0,30.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,20.0,20.0,20.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,30.0,30.0,30.0
68,30.0,30.0,30.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,20.0,20.0,20.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,80.0,80.0,80.0
76,0.0,0.0,0.0
77,20.0,20.0,20.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,30.0,30.0,30.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,20.0,20.0,20.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,20.0,20.0,20.0
103,30.0,30.0,30.0
104,20.0,20.0,20.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,30.0,30.0,30.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,30.0,30.0,30.0
113,0.0,0.0,0.0
114,20.0,20.0,20.0
115,30.0,30.0,30.0
116,0.0,0.0,0.0
117,30.0,30.0,30.0
118,40.0,40.0,40.0
119,30.0,30.0,30.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,50.0,50.0,50.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,30.0,30.0,30.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,30.0,30.0,30.0
134,30.0,30.0,30.0
135,40.0,40.0,40.0
136,0.0,0.0,0.0
137,70.0,70.0,70.0
138,10.0,10.0,10.0
139,20.0,20.0,20.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,20.0,20.0,20.0
146,30.0,30.0,30.0
147,0.0,0.0,0.0
148,60.0,60.0,60.0
149,60.0,60.0,60.0
150,40.0,40.0,40.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,10.0,10.0,10.0
154,20.0,20.0,20.0
155,20.0,20.0,20.0
156,0.0,0.0,0.0
157,20.0,20.0,20.0
158,0.0,0.0,0.0
159,30.0,30.0,30.0
160,70.0,70.0,70.0
161,30.0,30.0,30.0
162,30.0,30.0,30.0
163,20.0,20.0,20.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,30.0,30.0,30.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,60.0,60.0,60.0
177,30.0,30.0,30.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,30.0,30.0,30.0
183,10.0,10.0,10.0
184,0.0,0.0,0.0
185,30.0,30.0,30.0
186,100.0,100.0,100.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,10.0,10.0,10.0
190,20.0,20.0,20.0
191,0.0,0.0,0.0
192,40.0,40.0,40.0
193,40.0,40.0,40.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,30.0,30.0,30.0
198,80.0,80.0,80.0
199,30.0,30.0,30.0
200,0.0,0.0,0.0
201,20.0,20.0,20.0
202,30.0,30.0,30.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,60.0,60.0,60.0
