episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,40.0,40.0,40.0
3,50.0,50.0,50.0
4,0.0,0.0,0.0
5,30.0,30.0,30.0
6,0.0,0.0,0.0
7,50.0,50.0,50.0
8,30.0,30.0,30.0
9,30.0,30.0,30.0
10,50.0,50.0,50.0
11,40.0,40.0,40.0
12,20.0,20.0,20.0
13,20.0,20.0,20.0
14,20.0,20.0,20.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,40.0,40.0,40.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,30.0,30.0,30.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,20.0,20.0,20.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,30.0,30.0,30.0
37,0.0,0.0,0.0
38,30.0,30.0,30.0
39,60.0,60.0,60.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,30.0,30.0,30.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,40.0,40.0,40.0
49,20.0,20.0,20.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,30.0,30.0,30.0
57,0.0,0.0,0.0
58,40.0,40.0,40.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,40.0,40.0,40.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,50.0,50.0,50.0
68,20.0,20.0,20.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,30.0,30.0,30.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,30.0,30.0,30.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,30.0,30.0,30.0
87,0.0,0.0,0.0
88,20.0,20.0,20.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,10.0,10.0,10.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,50.0,50.0,50.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,20.0,20.0,20.0
104,10.0,10.0,10.0
105,0.0,0.0,0.0
106,20.0,20.0,20.0
107,0.0,0.0,0.0
108,40.0,40.0,40.0
109,20.0,20.0,20.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,30.0,30.0,30.0
113,0.0,0.0,0.0
114,20.0,20.0,20.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,30.0,30.0,30.0
118,0.0,0.0,0.0
119,50.0,50.0,50.0
120,40.0,40.0,40.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,110.0,110.0,110.0
124,0.0,0.0,0.0
125,40.0,40.0,40.0
126,0.0,0.0,0.0
127,30.0,30.0,30.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,40.0,40.0,40.0
134,0.0,0.0,0.0
135,50.0,50.0,50.0
136,0.0,0.0,0.0
137,40.0,40.0,40.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,30.0,30.0,30.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,50.0,50.0,50.0
153,30.0,30.0,30.0
154,10.0,10.0,10.0
155,0.0,0.0,0.0
156,30.0,30.0,30.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,30.0,30.0,30.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,20.0,20.0,20.0
175,0.0,0.0,0.0
176,30.0,30.0,30.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,10.0,10.0,10.0
183,10.0,10.0,10.0
184,0.0,0.0,0.0
185,40.0,40.0,40.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,20.0,20.0,20.0
190,0.0,0.0,0.0
191,20.0,20.0,20.0
192,0.0,0.0,0.0
193,10.0,10.0,10.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,30.0,30.0,30.0
201,0.0,0.0,0.0
202,30.0,30.0,30.0
203,30.0,30.0,30.0
204,40.0,40.0,40.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
