episode,adversary_0,adversary_1,adversary_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,30.0,30.0,30.0
9,60.0,60.0,60.0
10,30.0,30.0,30.0
11,0.0,0.0,0.0
12,30.0,30.0,30.0
13,30.0,30.0,30.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,20.0,20.0,20.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,60.0,60.0,60.0
28,0.0,0.0,0.0
29,30.0,30.0,30.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,30.0,30.0,30.0
33,30.0,30.0,30.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,20.0,20.0,20.0
38,0.0,0.0,0.0
39,40.0,40.0,40.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,30.0,30.0,30.0
43,0.0,0.0,0.0
44,20.0,20.0,20.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,30.0,30.0,30.0
49,30.0,30.0,30.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,20.0,20.0,20.0
55,20.0,20.0,20.0
56,40.0,40.0,40.0
57,30.0,30.0,30.0
58,0.0,0.0,0.0
59,40.0,40.0,40.0
60,30.0,30.0,30.0
61,0.0,0.0,0.0
62,30.0,30.0,30.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,20.0,20.0,20.0
66,0.0,0.0,0.0
67,20.0,20.0,20.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,20.0,20.0,20.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,30.0,30.0,30.0
74,0.0,0.0,0.0
75,50.0,50.0,50.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,60.0,60.0,60.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,60.0,60.0,60.0
87,40.0,40.0,40.0
88,0.0,0.0,0.0
89,30.0,30.0,30.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,30.0,30.0,30.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,60.0,60.0,60.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,30.0,30.0,30.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,30.0,30.0,30.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,40.0,40.0,40.0
113,0.0,0.0,0.0
114,10.0,10.0,10.0
115,50.0,50.0,50.0
116,0.0,0.0,0.0
117,20.0,20.0,20.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,60.0,60.0,60.0
123,50.0,50.0,50.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,40.0,40.0,40.0
130,20.0,20.0,20.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,10.0,10.0,10.0
138,0.0,0.0,0.0
139,20.0,20.0,20.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,40.0,40.0,40.0
144,0.0,0.0,0.0
145,30.0,30.0,30.0
146,0.0,0.0,0.0
147,50.0,50.0,50.0
148,30.0,30.0,30.0
149,40.0,40.0,40.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,40.0,40.0,40.0
154,20.0,20.0,20.0
155,30.0,30.0,30.0
156,40.0,40.0,40.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,10.0,10.0,10.0
160,30.0,30.0,30.0
161,0.0,0.0,0.0
162,30.0,30.0,30.0
163,0.0,0.0,0.0
164,50.0,50.0,50.0
165,30.0,30.0,30.0
166,50.0,50.0,50.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,20.0,20.0,20.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,10.0,10.0,10.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,10.0,10.0,10.0
184,0.0,0.0,0.0
185,30.0,30.0,30.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,20.0,20.0,20.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,20.0,20.0,20.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,30.0,30.0,30.0
198,50.0,50.0,50.0
199,0.0,0.0,0.0
200,30.0,30.0,30.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,30.0,30.0,30.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
