#{"t_start": 1750214991.8677404, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,298.934194
-200.0,200,298.964801
-200.0,200,298.99038
-200.0,200,299.020486
-200.0,200,299.055153
-200.0,200,299.253726
-200.0,200,299.395748
-200.0,200,299.553031
-200.0,200,299.721805
-200.0,200,299.838588
-200.0,200,299.96319
-200.0,200,300.09062
-200.0,200,300.219583
-200.0,200,300.335968
-200.0,200,300.453847
-200.0,200,300.638466
-200.0,200,300.765864
-200.0,200,300.877121
-200.0,200,301.076746
-200.0,200,301.206098
-200.0,200,301.365956
-200.0,200,301.506932
-200.0,200,301.672736
-200.0,200,301.808457
-200.0,200,301.940363
-200.0,200,302.098572
-200.0,200,302.223086
-200.0,200,302.344908
-200.0,200,302.466937
-200.0,200,302.593786
-200.0,200,302.718616
-200.0,200,302.838397
-200.0,200,302.963176
-200.0,200,303.083058
-200.0,200,303.204899
-200.0,200,303.320637
-200.0,200,303.446965
-200.0,200,303.570562
-200.0,200,303.693895
-200.0,200,303.815763
-200.0,200,303.940321
-200.0,200,304.060239
-200.0,200,304.196051
-200.0,200,304.315886
-200.0,200,304.44125
-200.0,200,304.563898
-200.0,200,304.687751
-200.0,200,304.806421
-200.0,200,304.930269
-200.0,200,305.047065
-200.0,200,305.176004
-200.0,200,305.303879
-200.0,200,305.422689
-136.0,136,305.50391
-200.0,200,305.622694
-200.0,200,305.740556
-200.0,200,305.865958
-200.0,200,306.013987
-200.0,200,306.1727
-200.0,200,306.340661
-200.0,200,306.510657
-200.0,200,306.641263
-200.0,200,306.767683
-164.0,164,306.86496
-200.0,200,307.006834
-200.0,200,307.142783
-200.0,200,307.295936
-200.0,200,307.421559
-200.0,200,307.552917
-200.0,200,307.68166
-200.0,200,307.822761
-193.0,193,307.943693
-200.0,200,308.148448
-200.0,200,308.301426
-200.0,200,308.435085
-200.0,200,308.579598
-200.0,200,308.784076
-200.0,200,308.941295
-200.0,200,309.060549
-200.0,200,309.197686
-200.0,200,309.330496
-200.0,200,309.560426
-200.0,200,309.700328
-200.0,200,309.834153
-184.0,184,309.947089
-200.0,200,310.075686
-200.0,200,310.194958
-200.0,200,310.339277
-200.0,200,310.469589
-200.0,200,310.60599
-200.0,200,310.725109
-200.0,200,310.857743
-200.0,200,310.989494
-172.0,172,311.1229
-200.0,200,311.326058
-200.0,200,311.485124
-176.0,176,311.620581
-200.0,200,311.799676
-200.0,200,311.956991
-200.0,200,312.133828
-200.0,200,312.301327
-200.0,200,312.497003
-200.0,200,312.663077
