#{"t_start": 1750214991.865227, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.248637
-200.0,200,0.353941
-200.0,200,0.484087
-200.0,200,0.639595
-200.0,200,0.833761
-200.0,200,1.139258
-200.0,200,1.378583
-200.0,200,1.623068
-200.0,200,1.843165
-200.0,200,2.048355
-200.0,200,2.279462
-200.0,200,2.484142
-200.0,200,2.691081
-200.0,200,2.889518
-200.0,200,3.117588
-200.0,200,3.324163
-200.0,200,3.752023
-200.0,200,4.14317
-200.0,200,4.468364
-200.0,200,4.709392
-200.0,200,4.942022
-200.0,200,5.179441
-200.0,200,5.475514
-200.0,200,5.727618
-200.0,200,5.955594
-200.0,200,6.1596
-200.0,200,6.396373
-200.0,200,6.634187
-200.0,200,6.858426
-200.0,200,7.07408
-200.0,200,7.299385
-200.0,200,7.532702
-200.0,200,7.763177
-200.0,200,7.999543
-200.0,200,8.229543
-200.0,200,8.544063
-200.0,200,8.77915
-200.0,200,9.093119
-200.0,200,9.366612
-200.0,200,9.571924
-200.0,200,9.789483
-200.0,200,9.998559
-200.0,200,10.236479
-200.0,200,10.446601
-200.0,200,10.669644
-200.0,200,10.851987
-200.0,200,11.037547
-200.0,200,11.22405
-200.0,200,11.41941
-200.0,200,11.601947
-200.0,200,11.78835
-200.0,200,11.967464
-200.0,200,12.152984
-200.0,200,12.345365
-200.0,200,12.556555
-200.0,200,12.749449
-200.0,200,12.936153
-200.0,200,13.129539
-200.0,200,13.326455
-200.0,200,13.511386
-200.0,200,13.697276
-200.0,200,13.882046
-200.0,200,14.069574
-200.0,200,14.253073
-200.0,200,14.443062
-200.0,200,14.663091
-200.0,200,14.877557
-200.0,200,15.114437
-200.0,200,15.321968
-200.0,200,15.548528
-200.0,200,15.797151
-200.0,200,15.978191
-200.0,200,16.183644
-200.0,200,16.367608
-200.0,200,16.566445
-200.0,200,16.773839
-200.0,200,16.961737
-200.0,200,17.202956
-200.0,200,17.398599
-200.0,200,17.581881
-200.0,200,17.77304
-200.0,200,17.955376
-200.0,200,18.146209
-200.0,200,18.346183
-200.0,200,18.540117
-200.0,200,18.729481
-200.0,200,18.915536
-200.0,200,19.101922
-200.0,200,19.298511
-200.0,200,19.479471
-200.0,200,19.669578
-200.0,200,19.852872
-200.0,200,20.048234
-200.0,200,20.226138
-200.0,200,20.416548
-200.0,200,20.60616
-200.0,200,20.802836
-200.0,200,20.983714
-200.0,200,21.173818
-200.0,200,21.352788
-200.0,200,21.551757
-200.0,200,21.734628
-200.0,200,21.922204
-200.0,200,22.105143
-200.0,200,22.299153
-200.0,200,22.487151
-200.0,200,22.681974
-200.0,200,22.874158
-200.0,200,23.059457
-200.0,200,23.244004
-200.0,200,23.436408
-200.0,200,23.625327
-200.0,200,23.846155
-200.0,200,24.062655
-200.0,200,24.307353
-200.0,200,24.499466
-200.0,200,24.702976
-200.0,200,24.926427
-200.0,200,25.13245
-200.0,200,25.316279
-200.0,200,25.508647
-200.0,200,25.688526
-200.0,200,25.882805
-200.0,200,26.063685
-200.0,200,26.269164
-200.0,200,26.449547
-200.0,200,26.649448
-200.0,200,26.835441
-200.0,200,27.036542
-200.0,200,27.217529
-171.0,171,27.370808
-200.0,200,27.565361
-200.0,200,27.755281
-200.0,200,27.937316
-200.0,200,28.125165
-200.0,200,28.319615
-200.0,200,28.509588
-200.0,200,28.708576
-200.0,200,28.893656
-200.0,200,29.122826
-200.0,200,29.312145
-200.0,200,29.504009
-200.0,200,29.755629
-200.0,200,29.946208
-200.0,200,30.133788
-200.0,200,30.324141
-200.0,200,30.504093
-200.0,200,30.698592
-200.0,200,30.900997
-200.0,200,31.102979
-200.0,200,31.29286
-200.0,200,31.481032
-200.0,200,31.681911
-200.0,200,31.873724
-200.0,200,32.063887
-200.0,200,32.259377
-200.0,200,32.447275
-200.0,200,32.64658
-200.0,200,32.833856
-200.0,200,33.039344
-200.0,200,33.226098
-200.0,200,33.420969
-200.0,200,33.620162
-200.0,200,33.813075
-200.0,200,34.0055
-200.0,200,34.193881
-200.0,200,34.388208
-200.0,200,34.61963
-200.0,200,34.807224
-200.0,200,35.031954
-200.0,200,35.259173
-164.0,164,35.431208
-200.0,200,35.669478
-131.0,131,35.780244
-200.0,200,35.979446
-200.0,200,36.178421
-200.0,200,36.381838
-200.0,200,36.569161
-200.0,200,36.760982
-200.0,200,36.950963
-200.0,200,37.158394
-200.0,200,37.343969
-200.0,200,37.607359
-200.0,200,37.806277
-200.0,200,37.999295
-200.0,200,38.183728
-200.0,200,38.373634
-200.0,200,38.576288
-200.0,200,38.770127
-177.0,177,38.932077
-200.0,200,39.118433
-200.0,200,39.326348
-200.0,200,39.515277
-200.0,200,39.720953
-200.0,200,39.912902
-200.0,200,40.10689
-200.0,200,40.325306
-200.0,200,40.54083
-200.0,200,40.74285
-200.0,200,40.943663
-200.0,200,41.142849
-171.0,171,41.301805
-200.0,200,41.485227
-200.0,200,41.70284
-200.0,200,41.920982
-200.0,200,42.145326
-200.0,200,42.381985
-200.0,200,42.585205
-200.0,200,42.815647
-200.0,200,43.022739
-200.0,200,43.202645
-200.0,200,43.404101
-161.0,161,43.559464
-200.0,200,43.754051
-200.0,200,43.951056
-167.0,167,44.103042
-160.0,160,44.252973
-200.0,200,44.444025
-200.0,200,44.643088
-200.0,200,44.841977
-200.0,200,45.029403
-200.0,200,45.235381
-200.0,200,45.430784
-200.0,200,45.65116
-200.0,200,45.839569
-200.0,200,46.041753
-118.0,118,46.151041
-169.0,169,46.316516
-196.0,196,46.572
-200.0,200,46.797148
-200.0,200,46.991056
-200.0,200,47.184551
-189.0,189,47.364035
-200.0,200,47.603754
-200.0,200,47.833048
-200.0,200,48.034041
-200.0,200,48.227533
-200.0,200,48.424111
-200.0,200,48.616606
-200.0,200,48.85167
-183.0,183,49.018525
-200.0,200,49.212932
-200.0,200,49.429347
-200.0,200,49.631811
-167.0,167,49.798222
-200.0,200,50.012787
-200.0,200,50.204063
-200.0,200,50.399246
-200.0,200,50.591138
-200.0,200,50.803902
-200.0,200,51.036481
-200.0,200,51.318742
-169.0,169,51.507235
-200.0,200,51.709213
-187.0,187,51.887725
-200.0,200,52.136442
-200.0,200,52.326465
-200.0,200,52.524488
-153.0,153,52.670816
-200.0,200,52.865302
-200.0,200,53.063826
-196.0,196,53.259485
-200.0,200,53.456402
-200.0,200,53.667412
-192.0,192,53.863943
-181.0,181,54.036323
-194.0,194,54.224149
-200.0,200,54.419389
-200.0,200,54.618244
-200.0,200,54.819099
-149.0,149,54.951835
-200.0,200,55.150852
-200.0,200,55.345332
-200.0,200,55.547235
-200.0,200,55.758318
-200.0,200,55.962561
-200.0,200,56.152109
-200.0,200,56.358635
-185.0,185,56.535566
-200.0,200,56.743696
-200.0,200,57.024002
-200.0,200,57.223714
-200.0,200,57.413599
-182.0,182,57.582007
-200.0,200,57.792969
-200.0,200,57.981155
-170.0,170,58.145382
-200.0,200,58.350997
-200.0,200,58.549479
-200.0,200,58.749403
-200.0,200,58.948364
-200.0,200,59.147362
-200.0,200,59.338443
-156.0,156,59.487234
-181.0,181,59.65378
-200.0,200,59.862735
-193.0,193,60.048277
-200.0,200,60.252715
-200.0,200,60.451673
-200.0,200,60.651122
-200.0,200,60.851048
-190.0,190,61.036423
-200.0,200,61.229371
-154.0,154,61.375671
-200.0,200,61.561151
-200.0,200,61.77658
-187.0,187,61.963884
-200.0,200,62.221667
-200.0,200,62.437142
-200.0,200,62.677423
-200.0,200,62.892986
-200.0,200,63.136591
-200.0,200,63.329407
-173.0,173,63.485367
-200.0,200,63.691845
-191.0,191,63.885303
-186.0,186,64.06727
-200.0,200,64.334089
-200.0,200,64.524034
-200.0,200,64.729573
-168.0,168,64.900986
-144.0,144,65.032216
-200.0,200,65.227161
-196.0,196,65.42102
-188.0,188,65.609452
-158.0,158,65.750823
-200.0,200,65.962995
-200.0,200,66.163775
-200.0,200,66.36718
-163.0,163,66.524002
-172.0,172,66.691004
-165.0,165,66.843079
-92.0,92,66.919929
-129.0,129,67.041704
-180.0,180,67.21165
-182.0,182,67.403702
-173.0,173,67.578148
-200.0,200,67.779141
-143.0,143,67.917002
-169.0,169,68.079321
-152.0,152,68.218139
-167.0,167,68.384018
-200.0,200,68.581035
-166.0,166,68.743805
-182.0,182,68.9574
-200.0,200,69.193095
-148.0,148,69.383964
-119.0,119,69.50927
-200.0,200,69.723354
-183.0,183,69.916001
-145.0,145,70.077389
-152.0,152,70.228179
-140.0,140,70.349481
-155.0,155,70.493745
-152.0,152,70.653965
-200.0,200,70.875201
-134.0,134,70.993648
-148.0,148,71.137184
-199.0,199,71.329184
-163.0,163,71.48019
-150.0,150,71.619457
-200.0,200,71.820138
-200.0,200,72.037535
-154.0,154,72.168223
