#{"t_start": 1750218408.4593935, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.055708
-200.0,200,0.077261
-200.0,200,0.098312
-200.0,200,0.125867
-200.0,200,0.150247
-200.0,200,0.300856
-200.0,200,0.412481
-200.0,200,0.530033
-200.0,200,0.670262
-200.0,200,0.800382
-200.0,200,0.93744
-200.0,200,1.091801
-200.0,200,1.267465
-200.0,200,1.402515
-200.0,200,1.534465
-200.0,200,1.659451
-200.0,200,1.805582
-200.0,200,1.948362
-200.0,200,2.159293
-200.0,200,2.294797
-200.0,200,2.434803
-200.0,200,2.569366
-200.0,200,2.721489
-200.0,200,2.857429
-200.0,200,3.020478
-200.0,200,3.174963
-200.0,200,3.300315
-200.0,200,3.425914
-200.0,200,3.573826
-200.0,200,3.793502
-200.0,200,3.947249
-200.0,200,4.07591
-200.0,200,4.204572
-200.0,200,4.353953
-200.0,200,4.509989
-200.0,200,4.63465
-200.0,200,4.773736
-200.0,200,4.898969
-200.0,200,5.029679
-200.0,200,5.149268
-200.0,200,5.277675
-200.0,200,5.397517
-160.0,160,5.494882
-200.0,200,5.62392
-200.0,200,5.740144
-200.0,200,5.866467
-200.0,200,5.989149
-200.0,200,6.128412
-200.0,200,6.252671
-200.0,200,6.372604
-200.0,200,6.486523
-200.0,200,6.614545
-200.0,200,6.733812
-200.0,200,6.855648
-200.0,200,6.971947
-200.0,200,7.101485
-200.0,200,7.216645
-200.0,200,7.347484
-200.0,200,7.469009
-200.0,200,7.595807
-200.0,200,7.721671
-200.0,200,7.855982
-200.0,200,7.984739
-200.0,200,8.128045
-200.0,200,8.265898
-200.0,200,8.403945
-200.0,200,8.525809
-200.0,200,8.6558
-200.0,200,8.775136
-200.0,200,8.910345
-200.0,200,9.039484
-200.0,200,9.16754
-200.0,200,9.283551
-200.0,200,9.420197
-200.0,200,9.543527
-200.0,200,9.675038
-200.0,200,9.798623
-152.0,152,9.89356
-200.0,200,10.026527
-200.0,200,10.169827
-200.0,200,10.290267
-200.0,200,10.428476
-200.0,200,10.554844
-200.0,200,10.685519
-200.0,200,10.824911
-200.0,200,10.955019
-200.0,200,11.085868
-200.0,200,11.224572
-200.0,200,11.339314
-200.0,200,11.475333
-200.0,200,11.616489
-200.0,200,11.757299
-200.0,200,11.872799
-200.0,200,12.007449
-200.0,200,12.128683
-200.0,200,12.275629
-200.0,200,12.392888
-200.0,200,12.524772
-200.0,200,12.648992
-200.0,200,12.780744
-200.0,200,12.897442
-200.0,200,13.026695
-200.0,200,13.154954
-200.0,200,13.277795
-200.0,200,13.390146
-200.0,200,13.51286
-200.0,200,13.63585
-200.0,200,13.766657
-200.0,200,13.890378
-200.0,200,14.056475
-200.0,200,14.210136
-200.0,200,14.37865
-200.0,200,14.508214
-200.0,200,14.640276
-200.0,200,14.760166
-200.0,200,14.891542
