#{"t_start": 1750223337.1221387, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.071749
-200.0,200,0.094957
-200.0,200,0.117157
-200.0,200,0.137325
-200.0,200,0.156451
-200.0,200,0.253713
-200.0,200,0.355647
-200.0,200,0.452434
-200.0,200,0.55632
-200.0,200,0.708977
-200.0,200,0.854537
-200.0,200,0.968125
-200.0,200,1.115952
-200.0,200,1.26079
-200.0,200,1.367295
-200.0,200,1.469896
-200.0,200,1.577469
-200.0,200,1.68503
-200.0,200,1.795556
-200.0,200,1.904371
-200.0,200,2.015255
-200.0,200,2.111862
-200.0,200,2.213796
-200.0,200,2.319716
-200.0,200,2.434994
-200.0,200,2.540184
-200.0,200,2.644388
-200.0,200,2.733861
-200.0,200,2.832448
-200.0,200,2.939374
-200.0,200,3.050419
-200.0,200,3.142965
-200.0,200,3.237571
-200.0,200,3.329021
-200.0,200,3.441191
-200.0,200,3.550586
-200.0,200,3.649365
-200.0,200,3.743172
-200.0,200,3.841851
-200.0,200,3.940789
-200.0,200,4.053789
-200.0,200,4.159852
-200.0,200,4.271169
-200.0,200,4.371763
-200.0,200,4.483688
-200.0,200,4.588663
-200.0,200,4.696674
-200.0,200,4.791069
-200.0,200,4.899668
-200.0,200,5.014858
-200.0,200,5.122753
-200.0,200,5.227276
-200.0,200,5.339315
-200.0,200,5.432147
-200.0,200,5.538842
-200.0,200,5.642512
-200.0,200,5.753231
-200.0,200,5.856192
-200.0,200,5.969504
-200.0,200,6.069807
-200.0,200,6.18866
-200.0,200,6.288341
-200.0,200,6.402018
-200.0,200,6.502457
-200.0,200,6.597927
-200.0,200,6.697955
-200.0,200,6.807812
-200.0,200,6.910664
-200.0,200,7.029606
-200.0,200,7.132489
-200.0,200,7.25778
-200.0,200,7.389263
-200.0,200,7.521464
-200.0,200,7.670071
-200.0,200,7.804759
-200.0,200,7.922673
-200.0,200,8.033521
-200.0,200,8.132512
-200.0,200,8.248592
-200.0,200,8.368211
-200.0,200,8.486367
-200.0,200,8.584584
-200.0,200,8.697719
-200.0,200,8.803504
-200.0,200,8.920669
-200.0,200,9.022521
-200.0,200,9.140606
-200.0,200,9.244223
-200.0,200,9.356074
-200.0,200,9.463259
-200.0,200,9.571383
-200.0,200,9.678068
-200.0,200,9.788257
-200.0,200,9.894449
-197.0,197,10.007363
-173.0,173,10.100719
-196.0,196,10.205446
-200.0,200,10.316288
-200.0,200,10.426095
-200.0,200,10.53208
-200.0,200,10.641172
-200.0,200,10.735874
-200.0,200,10.845582
-164.0,164,10.938489
-169.0,169,11.029729
-200.0,200,11.137882
-200.0,200,11.239148
-200.0,200,11.332932
-200.0,200,11.431529
-200.0,200,11.524947
-200.0,200,11.63286
-171.0,171,11.714241
-200.0,200,11.819581
-200.0,200,11.915113
-200.0,200,12.033614
-200.0,200,12.146121
-200.0,200,12.253914
-200.0,200,12.356659
-185.0,185,12.466823
-200.0,200,12.568923
-200.0,200,12.678358
