#{"t_start": 1750218408.476939, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,219.71078
-200.0,200,219.834108
-200.0,200,219.978216
-200.0,200,220.125441
-200.0,200,220.256006
-200.0,200,220.491813
-200.0,200,220.745304
-200.0,200,220.978282
-200.0,200,221.240945
-200.0,200,221.486928
-200.0,200,221.788364
-200.0,200,222.066317
-200.0,200,222.302557
-200.0,200,222.560889
-200.0,200,222.824278
-200.0,200,223.036219
-200.0,200,223.265343
-200.0,200,223.480006
-200.0,200,223.706377
-200.0,200,224.008467
-200.0,200,224.261857
-200.0,200,224.496379
-200.0,200,224.752686
-200.0,200,224.974409
-200.0,200,225.215409
-200.0,200,225.452821
-200.0,200,225.700694
-200.0,200,225.942015
-200.0,200,226.167364
-200.0,200,226.399959
-200.0,200,226.658271
-200.0,200,226.91254
-200.0,200,227.157369
-200.0,200,227.412574
-200.0,200,227.664141
-200.0,200,227.891483
-200.0,200,228.122814
-200.0,200,228.355353
-200.0,200,228.579968
-200.0,200,228.828375
-200.0,200,229.159765
-200.0,200,229.395378
-200.0,200,229.66072
-200.0,200,229.962805
-200.0,200,230.302495
-200.0,200,230.562512
-200.0,200,230.876954
-200.0,200,231.122613
-200.0,200,231.39838
-200.0,200,231.630747
-200.0,200,231.91095
-200.0,200,232.178345
-200.0,200,232.408961
-200.0,200,232.635284
-200.0,200,232.95289
-200.0,200,233.258274
-200.0,200,233.510929
-200.0,200,233.772957
-200.0,200,234.026188
-200.0,200,234.259658
-200.0,200,234.514311
-200.0,200,234.747265
-200.0,200,235.010051
-200.0,200,235.23904
-200.0,200,235.490491
-200.0,200,235.729846
-200.0,200,235.966429
-200.0,200,236.197317
-200.0,200,236.436087
-200.0,200,236.660542
-200.0,200,236.910579
-200.0,200,237.164399
-200.0,200,237.426361
-200.0,200,237.668132
-200.0,200,237.916443
-200.0,200,238.158333
-200.0,200,238.40056
-200.0,200,238.629921
-200.0,200,238.866426
-200.0,200,239.099858
-200.0,200,239.364032
-200.0,200,239.668141
-200.0,200,239.98284
-200.0,200,240.21984
-200.0,200,240.481684
-200.0,200,240.738375
-200.0,200,240.990847
-200.0,200,241.21998
-200.0,200,241.46521
-200.0,200,241.693433
-200.0,200,242.010074
-200.0,200,242.255225
-200.0,200,242.515218
-200.0,200,242.747471
-200.0,200,242.985488
-200.0,200,243.239785
-200.0,200,243.503454
-200.0,200,243.728429
-200.0,200,243.996993
-200.0,200,244.242501
-200.0,200,244.475381
-200.0,200,244.706239
-200.0,200,244.958028
-200.0,200,245.202277
-200.0,200,245.466124
-200.0,200,245.714125
-200.0,200,245.994217
-200.0,200,246.234207
-200.0,200,246.495007
-200.0,200,246.722891
-167.0,167,246.916097
-200.0,200,247.221876
-200.0,200,247.491619
-200.0,200,247.737691
-200.0,200,248.042685
-200.0,200,248.282613
-200.0,200,248.506072
-200.0,200,248.798314
-200.0,200,249.072756
-200.0,200,249.352735
-200.0,200,249.61981
-200.0,200,249.892732
-200.0,200,250.171934
-200.0,200,250.392897
-200.0,200,250.637367
-200.0,200,250.887481
-200.0,200,251.141759
-200.0,200,251.383085
-200.0,200,251.644073
-200.0,200,251.875016
-200.0,200,252.120888
-200.0,200,252.3563
-200.0,200,252.60908
-200.0,200,252.844164
-200.0,200,253.151866
-200.0,200,253.452867
-200.0,200,253.697465
-200.0,200,253.951895
-200.0,200,254.211932
-154.0,154,254.432819
-200.0,200,254.690817
-200.0,200,254.921867
-200.0,200,255.145442
-200.0,200,255.424414
-200.0,200,255.680495
-200.0,200,255.934292
-122.0,122,256.049914
-200.0,200,256.298219
-200.0,200,256.58064
-200.0,200,256.819032
-200.0,200,257.046368
-200.0,200,257.306452
-200.0,200,257.545302
-200.0,200,257.787004
-200.0,200,258.017274
-200.0,200,258.279638
-200.0,200,258.505463
-200.0,200,258.742979
-200.0,200,259.008401
-200.0,200,259.259071
-140.0,140,259.405347
-200.0,200,259.658341
-200.0,200,259.878602
-159.0,159,260.097307
-200.0,200,260.399624
-200.0,200,260.646275
-200.0,200,260.886012
-200.0,200,261.121009
-119.0,119,261.247478
-200.0,200,261.462695
-200.0,200,261.704409
-200.0,200,261.938279
-200.0,200,262.16854
-200.0,200,262.405032
-200.0,200,262.632899
-162.0,162,262.837464
-156.0,156,263.026972
-177.0,177,263.271516
-200.0,200,263.495502
-200.0,200,263.747248
-200.0,200,264.000837
-187.0,187,264.238132
-200.0,200,264.474985
-200.0,200,264.744327
-200.0,200,265.067096
-158.0,158,265.272966
-200.0,200,265.53863
-200.0,200,265.782578
-200.0,200,266.081608
-200.0,200,266.369863
-200.0,200,266.696052
-200.0,200,266.994483
-200.0,200,267.299957
-200.0,200,267.598093
-200.0,200,268.062384
-200.0,200,268.354706
-200.0,200,268.598739
-200.0,200,268.842904
-200.0,200,269.055068
-200.0,200,269.290477
-200.0,200,269.583432
-200.0,200,269.853929
-200.0,200,270.119883
-200.0,200,270.34059
-161.0,161,270.500779
-200.0,200,270.711979
-200.0,200,270.897867
-200.0,200,271.099008
-200.0,200,271.290623
-200.0,200,271.503378
-178.0,178,271.67089
-200.0,200,271.890478
-197.0,197,272.121892
-200.0,200,272.332419
-174.0,174,272.526539
-200.0,200,272.749273
-176.0,176,272.924534
-195.0,195,273.105714
-200.0,200,273.297731
-200.0,200,273.486617
-160.0,160,273.640677
-200.0,200,273.846704
-177.0,177,274.027316
-200.0,200,274.24996
-124.0,124,274.352082
-200.0,200,274.537277
-186.0,186,274.710901
-200.0,200,274.911229
-159.0,159,275.04842
-200.0,200,275.26029
-200.0,200,275.442242
-183.0,183,275.599436
-182.0,182,275.762382
-193.0,193,275.969058
-200.0,200,276.30517
-200.0,200,276.557956
-162.0,162,276.709323
-164.0,164,276.866021
-176.0,176,277.026594
-153.0,153,277.237352
-200.0,200,277.435822
