#{"t_start": 1750221143.4389563, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,163.190381
-200.0,200,163.300424
-200.0,200,163.409073
-200.0,200,163.51798
-200.0,200,163.6298
-200.0,200,163.815292
-200.0,200,164.007704
-200.0,200,164.197294
-200.0,200,164.47237
-200.0,200,164.66783
-200.0,200,164.864892
-200.0,200,165.074356
-200.0,200,165.267162
-200.0,200,165.462731
-200.0,200,165.65589
-200.0,200,165.841592
-200.0,200,166.033672
-200.0,200,166.219527
-200.0,200,166.416189
-200.0,200,166.593844
-200.0,200,166.790567
-200.0,200,166.978362
-200.0,200,167.169051
-200.0,200,167.341548
-200.0,200,167.550138
-200.0,200,167.743284
-200.0,200,167.940883
-200.0,200,168.133885
-200.0,200,168.331005
-200.0,200,168.510539
-169.0,169,168.652894
-200.0,200,168.834315
-200.0,200,169.002075
-200.0,200,169.186714
-200.0,200,169.357515
-189.0,189,169.582117
-200.0,200,169.807638
-200.0,200,170.027263
-200.0,200,170.222963
-200.0,200,170.417028
-200.0,200,170.590247
-200.0,200,170.781905
-200.0,200,170.973075
-200.0,200,171.176776
-200.0,200,171.375449
-200.0,200,171.575508
-200.0,200,171.765175
-200.0,200,171.961333
-200.0,200,172.155043
-200.0,200,172.354448
-200.0,200,172.542194
-200.0,200,172.722523
-200.0,200,172.893687
-200.0,200,173.0826
-200.0,200,173.269093
-200.0,200,173.48401
-200.0,200,173.678338
-200.0,200,173.881904
-200.0,200,174.075103
-200.0,200,174.27856
-196.0,196,174.458228
-200.0,200,174.667899
-200.0,200,174.849553
-200.0,200,175.030084
-200.0,200,175.217844
-200.0,200,175.417689
-200.0,200,175.625798
-200.0,200,175.821339
-200.0,200,176.039429
-200.0,200,176.297243
-200.0,200,176.533388
-200.0,200,176.75154
-200.0,200,176.952086
-200.0,200,177.201053
-200.0,200,177.406996
-200.0,200,177.606988
-200.0,200,177.796531
-200.0,200,178.016891
-200.0,200,178.211504
-200.0,200,178.399865
-200.0,200,178.596547
-200.0,200,178.795125
-200.0,200,178.988581
-200.0,200,179.189118
-200.0,200,179.386562
-200.0,200,179.568847
-200.0,200,179.741349
-200.0,200,179.93427
-200.0,200,180.105279
-200.0,200,180.283929
-200.0,200,180.459378
-184.0,184,180.615489
-174.0,174,180.759535
